      Step     Time          Energy          fmax
BFGS:    0 14:47:01       94.000379        7.175900
BFGS:    1 14:47:01       91.711543        3.542911
BFGS:    2 14:47:01       91.055821        1.899678
BFGS:    3 14:47:02       90.727947        0.842577
BFGS:    4 14:47:02       90.537514        0.988680
BFGS:    5 14:47:02       90.329690        1.203829
BFGS:    6 14:47:02       90.204666        0.815499
BFGS:    7 14:47:02       90.173049        0.321819
BFGS:    8 14:47:02       90.160188        0.274606
BFGS:    9 14:47:02       90.150576        0.307068
BFGS:   10 14:47:03       90.140538        0.271764
BFGS:   11 14:47:03       90.131178        0.213093
BFGS:   12 14:47:03       90.124503        0.206569
BFGS:   13 14:47:03       90.119298        0.197549
BFGS:   14 14:47:03       90.113755        0.185126
BFGS:   15 14:47:03       90.105378        0.229757
BFGS:   16 14:47:03       90.093596        0.278036
BFGS:   17 14:47:03       90.082269        0.209602
BFGS:   18 14:47:04       90.075039        0.201669
BFGS:   19 14:47:04       90.068896        0.167264
BFGS:   20 14:47:04       90.061411        0.219236
BFGS:   21 14:47:04       90.054201        0.183381
BFGS:   22 14:47:04       90.048418        0.144497
BFGS:   23 14:47:04       90.043862        0.134656
BFGS:   24 14:47:04       90.037359        0.202328
BFGS:   25 14:47:05       90.026629        0.338878
BFGS:   26 14:47:05       90.013556        0.361887
BFGS:   27 14:47:05       90.001945        0.213189
BFGS:   28 14:47:05       89.994083        0.129311
BFGS:   29 14:47:05       89.991806        0.233559
BFGS:   30 14:47:05       89.985264        0.153096
      Step     Time          Energy          fmax
BFGS:    0 14:54:10       94.000379        7.175900
BFGS:    1 14:54:10       91.711543        3.542911
BFGS:    2 14:54:10       91.055821        1.899678
BFGS:    3 14:54:11       90.727947        0.842577
BFGS:    4 14:54:11       90.537514        0.988680
BFGS:    5 14:54:11       90.329690        1.203829
BFGS:    6 14:54:11       90.204666        0.815499
BFGS:    7 14:54:11       90.173049        0.321819
BFGS:    8 14:54:11       90.160188        0.274606
BFGS:    9 14:54:11       90.150576        0.307068
BFGS:   10 14:54:12       90.140538        0.271764
BFGS:   11 14:54:12       90.131178        0.213093
BFGS:   12 14:54:12       90.124503        0.206569
BFGS:   13 14:54:12       90.119298        0.197549
BFGS:   14 14:54:12       90.113755        0.185126
BFGS:   15 14:54:12       90.105378        0.229757
BFGS:   16 14:54:12       90.093596        0.278036
BFGS:   17 14:54:13       90.082269        0.209602
BFGS:   18 14:54:13       90.075039        0.201669
BFGS:   19 14:54:13       90.068896        0.167264
BFGS:   20 14:54:13       90.061411        0.219236
BFGS:   21 14:54:13       90.054201        0.183381
BFGS:   22 14:54:13       90.048418        0.144497
BFGS:   23 14:54:13       90.043862        0.134656
BFGS:   24 14:54:14       90.037359        0.202328
BFGS:   25 14:54:14       90.026629        0.338878
BFGS:   26 14:54:14       90.013556        0.361887
BFGS:   27 14:54:14       90.001945        0.213189
BFGS:   28 14:54:14       89.994083        0.129311
BFGS:   29 14:54:14       89.991806        0.233559
BFGS:   30 14:54:14       89.985264        0.153096
      Step     Time          Energy          fmax
BFGS:    0 17:58:22       94.000379        7.175900
BFGS:    1 17:58:22       91.711543        3.542911
BFGS:    2 17:58:22       91.055821        1.899678
BFGS:    3 17:58:23       90.727947        0.842577
BFGS:    4 17:58:23       90.537514        0.988680
BFGS:    5 17:58:23       90.329690        1.203829
BFGS:    6 17:58:23       90.204666        0.815499
BFGS:    7 17:58:23       90.173049        0.321819
BFGS:    8 17:58:23       90.160188        0.274606
BFGS:    9 17:58:23       90.150576        0.307068
BFGS:   10 17:58:24       90.140538        0.271764
BFGS:   11 17:58:24       90.131178        0.213093
BFGS:   12 17:58:24       90.124503        0.206569
BFGS:   13 17:58:24       90.119298        0.197549
BFGS:   14 17:58:24       90.113755        0.185126
BFGS:   15 17:58:24       90.105378        0.229757
BFGS:   16 17:58:24       90.093596        0.278036
BFGS:   17 17:58:24       90.082269        0.209602
BFGS:   18 17:58:24       90.075039        0.201669
BFGS:   19 17:58:25       90.068896        0.167264
BFGS:   20 17:58:25       90.061411        0.219236
BFGS:   21 17:58:25       90.054201        0.183381
BFGS:   22 17:58:25       90.048418        0.144497
BFGS:   23 17:58:25       90.043862        0.134656
BFGS:   24 17:58:25       90.037359        0.202328
BFGS:   25 17:58:25       90.026629        0.338878
BFGS:   26 17:58:26       90.013556        0.361887
BFGS:   27 17:58:26       90.001945        0.213189
BFGS:   28 17:58:26       89.994083        0.129311
BFGS:   29 17:58:26       89.991806        0.233559
BFGS:   30 17:58:26       89.985264        0.153096
