      Step     Time          Energy          fmax
BFGS:    0 14:47:14      102.885367       39.663662
BFGS:    1 14:47:14       95.148573       10.402494
BFGS:    2 14:47:14       92.141118        3.615916
BFGS:    3 14:47:14       91.356974        2.155108
BFGS:    4 14:47:15       90.907119        1.037997
BFGS:    5 14:47:15       90.644849        1.070266
BFGS:    6 14:47:15       90.447151        1.091218
BFGS:    7 14:47:15       90.361797        0.948374
BFGS:    8 14:47:15       90.310676        0.772584
BFGS:    9 14:47:15       90.265026        0.536295
BFGS:   10 14:47:15       90.233174        0.604652
BFGS:   11 14:47:16       90.208405        0.391544
BFGS:   12 14:47:16       90.193057        0.320776
BFGS:   13 14:47:16       90.179160        0.312465
BFGS:   14 14:47:16       90.167194        0.408578
BFGS:   15 14:47:16       90.155087        0.430862
BFGS:   16 14:47:17       90.142610        0.296181
BFGS:   17 14:47:17       90.131538        0.251320
BFGS:   18 14:47:17       90.123278        0.186424
BFGS:   19 14:47:17       90.115707        0.277513
BFGS:   20 14:47:17       90.106295        0.282306
BFGS:   21 14:47:17       90.097493        0.176606
BFGS:   22 14:47:18       90.091714        0.135922
BFGS:   23 14:47:18       90.087581        0.136116
BFGS:   24 14:47:18       90.083352        0.189710
BFGS:   25 14:47:18       90.077622        0.184969
BFGS:   26 14:47:18       90.071695        0.207656
BFGS:   27 14:47:18       90.067603        0.171354
BFGS:   28 14:47:18       90.064593        0.112109
BFGS:   29 14:47:18       90.061678        0.130155
BFGS:   30 14:47:18       90.058122        0.153457
      Step     Time          Energy          fmax
BFGS:    0 14:54:23      102.885367       39.663662
BFGS:    1 14:54:23       95.148573       10.402494
BFGS:    2 14:54:23       92.141118        3.615916
BFGS:    3 14:54:23       91.356974        2.155108
BFGS:    4 14:54:23       90.907119        1.037997
BFGS:    5 14:54:24       90.644849        1.070266
BFGS:    6 14:54:24       90.447151        1.091218
BFGS:    7 14:54:24       90.361797        0.948374
BFGS:    8 14:54:24       90.310676        0.772584
BFGS:    9 14:54:24       90.265026        0.536295
BFGS:   10 14:54:24       90.233174        0.604652
BFGS:   11 14:54:24       90.208405        0.391544
BFGS:   12 14:54:25       90.193057        0.320776
BFGS:   13 14:54:25       90.179160        0.312465
BFGS:   14 14:54:25       90.167194        0.408578
BFGS:   15 14:54:25       90.155087        0.430862
BFGS:   16 14:54:25       90.142610        0.296181
BFGS:   17 14:54:25       90.131538        0.251320
BFGS:   18 14:54:25       90.123278        0.186424
BFGS:   19 14:54:26       90.115707        0.277513
BFGS:   20 14:54:26       90.106295        0.282306
BFGS:   21 14:54:26       90.097493        0.176606
BFGS:   22 14:54:26       90.091714        0.135922
BFGS:   23 14:54:26       90.087581        0.136116
BFGS:   24 14:54:26       90.083352        0.189710
BFGS:   25 14:54:26       90.077622        0.184969
BFGS:   26 14:54:27       90.071695        0.207656
BFGS:   27 14:54:27       90.067603        0.171354
BFGS:   28 14:54:27       90.064593        0.112109
BFGS:   29 14:54:27       90.061678        0.130155
BFGS:   30 14:54:27       90.058122        0.153457
      Step     Time          Energy          fmax
BFGS:    0 17:58:34      102.885367       39.663662
BFGS:    1 17:58:34       95.148573       10.402494
BFGS:    2 17:58:34       92.141118        3.615916
BFGS:    3 17:58:34       91.356974        2.155108
BFGS:    4 17:58:34       90.907119        1.037997
BFGS:    5 17:58:34       90.644849        1.070266
BFGS:    6 17:58:34       90.447151        1.091218
BFGS:    7 17:58:34       90.361797        0.948374
BFGS:    8 17:58:35       90.310676        0.772584
BFGS:    9 17:58:35       90.265026        0.536295
BFGS:   10 17:58:35       90.233174        0.604652
BFGS:   11 17:58:35       90.208405        0.391544
BFGS:   12 17:58:35       90.193057        0.320776
BFGS:   13 17:58:35       90.179160        0.312465
BFGS:   14 17:58:35       90.167194        0.408578
BFGS:   15 17:58:35       90.155087        0.430862
BFGS:   16 17:58:35       90.142610        0.296181
BFGS:   17 17:58:36       90.131538        0.251320
BFGS:   18 17:58:36       90.123278        0.186424
BFGS:   19 17:58:36       90.115707        0.277513
BFGS:   20 17:58:36       90.106295        0.282306
BFGS:   21 17:58:36       90.097493        0.176606
BFGS:   22 17:58:36       90.091714        0.135922
BFGS:   23 17:58:36       90.087581        0.136116
BFGS:   24 17:58:36       90.083352        0.189710
BFGS:   25 17:58:36       90.077622        0.184969
BFGS:   26 17:58:37       90.071695        0.207656
BFGS:   27 17:58:37       90.067603        0.171354
BFGS:   28 17:58:37       90.064593        0.112109
BFGS:   29 17:58:37       90.061678        0.130155
BFGS:   30 17:58:37       90.058122        0.153457
