      Step     Time          Energy          fmax
BFGS:    0 14:46:03       95.472633        8.987696
BFGS:    1 14:46:03       92.339513        4.411382
BFGS:    2 14:46:03       91.275975        2.000078
BFGS:    3 14:46:03       90.884793        0.807145
BFGS:    4 14:46:03       90.648364        0.932048
BFGS:    5 14:46:03       90.420326        1.000890
BFGS:    6 14:46:03       90.306184        0.815708
BFGS:    7 14:46:03       90.261027        0.639111
BFGS:    8 14:46:03       90.219552        0.417541
BFGS:    9 14:46:04       90.194824        0.480797
BFGS:   10 14:46:04       90.178028        0.329573
BFGS:   11 14:46:04       90.166368        0.344152
BFGS:   12 14:46:04       90.155619        0.301217
BFGS:   13 14:46:04       90.145355        0.411390
BFGS:   14 14:46:04       90.134948        0.382787
BFGS:   15 14:46:04       90.125351        0.205282
BFGS:   16 14:46:04       90.117622        0.151334
BFGS:   17 14:46:05       90.111574        0.214294
BFGS:   18 14:46:05       90.104989        0.287969
BFGS:   19 14:46:05       90.097561        0.225375
BFGS:   20 14:46:05       90.091285        0.159445
BFGS:   21 14:46:05       90.086461        0.126253
BFGS:   22 14:46:05       90.081772        0.213550
BFGS:   23 14:46:05       90.075357        0.273568
BFGS:   24 14:46:05       90.065936        0.236637
BFGS:   25 14:46:05       90.057339        0.225768
BFGS:   26 14:46:06       90.049066        0.182524
BFGS:   27 14:46:06       90.040330        0.122431
BFGS:   28 14:46:06       90.032664        0.222099
BFGS:   29 14:46:06       90.024268        0.246164
BFGS:   30 14:46:06       90.016604        0.168252
      Step     Time          Energy          fmax
BFGS:    0 14:53:09       95.472633        8.987696
BFGS:    1 14:53:09       92.339513        4.411382
BFGS:    2 14:53:10       91.275975        2.000078
BFGS:    3 14:53:10       90.884793        0.807145
BFGS:    4 14:53:10       90.648364        0.932048
BFGS:    5 14:53:10       90.420326        1.000890
BFGS:    6 14:53:10       90.306184        0.815708
BFGS:    7 14:53:10       90.261027        0.639111
BFGS:    8 14:53:10       90.219552        0.417541
BFGS:    9 14:53:10       90.194824        0.480797
BFGS:   10 14:53:11       90.178028        0.329573
BFGS:   11 14:53:11       90.166368        0.344152
BFGS:   12 14:53:11       90.155619        0.301217
BFGS:   13 14:53:11       90.145355        0.411390
BFGS:   14 14:53:11       90.134948        0.382787
BFGS:   15 14:53:11       90.125351        0.205282
BFGS:   16 14:53:11       90.117622        0.151334
BFGS:   17 14:53:11       90.111574        0.214294
BFGS:   18 14:53:12       90.104989        0.287969
BFGS:   19 14:53:12       90.097561        0.225375
BFGS:   20 14:53:12       90.091285        0.159445
BFGS:   21 14:53:12       90.086461        0.126253
BFGS:   22 14:53:12       90.081772        0.213550
BFGS:   23 14:53:12       90.075357        0.273568
BFGS:   24 14:53:12       90.065936        0.236637
BFGS:   25 14:53:12       90.057339        0.225768
BFGS:   26 14:53:13       90.049066        0.182524
BFGS:   27 14:53:13       90.040330        0.122431
BFGS:   28 14:53:13       90.032664        0.222099
BFGS:   29 14:53:13       90.024268        0.246164
BFGS:   30 14:53:13       90.016604        0.168252
      Step     Time          Energy          fmax
BFGS:    0 17:57:24       95.472633        8.987696
BFGS:    1 17:57:24       92.339513        4.411382
BFGS:    2 17:57:24       91.275975        2.000078
BFGS:    3 17:57:24       90.884793        0.807145
BFGS:    4 17:57:25       90.648364        0.932048
BFGS:    5 17:57:25       90.420326        1.000890
BFGS:    6 17:57:25       90.306184        0.815708
BFGS:    7 17:57:25       90.261027        0.639111
BFGS:    8 17:57:25       90.219552        0.417541
BFGS:    9 17:57:25       90.194824        0.480797
BFGS:   10 17:57:25       90.178028        0.329573
BFGS:   11 17:57:26       90.166368        0.344152
BFGS:   12 17:57:26       90.155619        0.301217
BFGS:   13 17:57:26       90.145355        0.411390
BFGS:   14 17:57:26       90.134948        0.382787
BFGS:   15 17:57:26       90.125351        0.205282
BFGS:   16 17:57:26       90.117622        0.151334
BFGS:   17 17:57:26       90.111574        0.214294
BFGS:   18 17:57:27       90.104989        0.287969
BFGS:   19 17:57:27       90.097561        0.225375
BFGS:   20 17:57:27       90.091285        0.159445
BFGS:   21 17:57:27       90.086461        0.126253
BFGS:   22 17:57:27       90.081772        0.213550
BFGS:   23 17:57:27       90.075357        0.273568
BFGS:   24 17:57:27       90.065936        0.236637
BFGS:   25 17:57:27       90.057339        0.225768
BFGS:   26 17:57:27       90.049066        0.182524
BFGS:   27 17:57:28       90.040330        0.122431
BFGS:   28 17:57:28       90.032664        0.222099
BFGS:   29 17:57:28       90.024268        0.246164
BFGS:   30 17:57:28       90.016604        0.168252
