      Step     Time          Energy          fmax
BFGS:    0 14:47:23       96.441857        9.675768
BFGS:    1 14:47:23       92.578160        4.853139
BFGS:    2 14:47:23       91.417967        2.193664
BFGS:    3 14:47:23       90.978105        0.823867
BFGS:    4 14:47:23       90.721298        0.965975
BFGS:    5 14:47:23       90.484191        1.046338
BFGS:    6 14:47:24       90.365108        0.877089
BFGS:    7 14:47:24       90.311517        0.672687
BFGS:    8 14:47:24       90.259540        0.475509
BFGS:    9 14:47:24       90.228276        0.501157
BFGS:   10 14:47:24       90.209064        0.406267
BFGS:   11 14:47:24       90.193451        0.411160
BFGS:   12 14:47:24       90.178472        0.371070
BFGS:   13 14:47:24       90.164500        0.469247
BFGS:   14 14:47:25       90.151684        0.374138
BFGS:   15 14:47:25       90.140882        0.181622
BFGS:   16 14:47:25       90.132652        0.158493
BFGS:   17 14:47:25       90.125706        0.288803
BFGS:   18 14:47:25       90.118087        0.303090
BFGS:   19 14:47:25       90.111579        0.177925
BFGS:   20 14:47:25       90.107129        0.117764
BFGS:   21 14:47:25       90.103479        0.174312
BFGS:   22 14:47:26       90.099404        0.262502
BFGS:   23 14:47:26       90.093916        0.277487
BFGS:   24 14:47:26       90.087002        0.190924
BFGS:   25 14:47:26       90.080419        0.152668
BFGS:   26 14:47:26       90.074185        0.173752
BFGS:   27 14:47:26       90.066143        0.225561
BFGS:   28 14:47:26       90.057046        0.264614
BFGS:   29 14:47:26       90.046989        0.223431
BFGS:   30 14:47:27       90.038291        0.133029
      Step     Time          Energy          fmax
BFGS:    0 14:54:32       96.441857        9.675768
BFGS:    1 14:54:32       92.578160        4.853139
BFGS:    2 14:54:32       91.417967        2.193664
BFGS:    3 14:54:32       90.978105        0.823867
BFGS:    4 14:54:32       90.721298        0.965975
BFGS:    5 14:54:33       90.484191        1.046338
BFGS:    6 14:54:33       90.365108        0.877089
BFGS:    7 14:54:33       90.311517        0.672687
BFGS:    8 14:54:33       90.259540        0.475509
BFGS:    9 14:54:33       90.228276        0.501157
BFGS:   10 14:54:33       90.209064        0.406267
BFGS:   11 14:54:34       90.193451        0.411160
BFGS:   12 14:54:34       90.178472        0.371070
BFGS:   13 14:54:34       90.164500        0.469247
BFGS:   14 14:54:34       90.151684        0.374138
BFGS:   15 14:54:34       90.140882        0.181622
BFGS:   16 14:54:34       90.132652        0.158493
BFGS:   17 14:54:34       90.125706        0.288803
BFGS:   18 14:54:35       90.118087        0.303090
BFGS:   19 14:54:35       90.111579        0.177925
BFGS:   20 14:54:35       90.107129        0.117764
BFGS:   21 14:54:35       90.103479        0.174312
BFGS:   22 14:54:35       90.099404        0.262502
BFGS:   23 14:54:35       90.093916        0.277487
BFGS:   24 14:54:35       90.087002        0.190924
BFGS:   25 14:54:35       90.080419        0.152668
BFGS:   26 14:54:36       90.074185        0.173752
BFGS:   27 14:54:36       90.066143        0.225561
BFGS:   28 14:54:36       90.057046        0.264614
BFGS:   29 14:54:36       90.046989        0.223431
BFGS:   30 14:54:36       90.038291        0.133029
      Step     Time          Energy          fmax
BFGS:    0 17:58:41       96.441857        9.675768
BFGS:    1 17:58:41       92.578160        4.853139
BFGS:    2 17:58:41       91.417967        2.193664
BFGS:    3 17:58:41       90.978105        0.823867
BFGS:    4 17:58:42       90.721298        0.965975
BFGS:    5 17:58:42       90.484191        1.046338
BFGS:    6 17:58:42       90.365108        0.877089
BFGS:    7 17:58:42       90.311517        0.672687
BFGS:    8 17:58:42       90.259540        0.475509
BFGS:    9 17:58:42       90.228276        0.501157
BFGS:   10 17:58:42       90.209064        0.406267
BFGS:   11 17:58:42       90.193451        0.411160
BFGS:   12 17:58:43       90.178472        0.371070
BFGS:   13 17:58:43       90.164500        0.469247
BFGS:   14 17:58:43       90.151684        0.374138
BFGS:   15 17:58:43       90.140882        0.181622
BFGS:   16 17:58:43       90.132652        0.158493
BFGS:   17 17:58:43       90.125706        0.288803
BFGS:   18 17:58:43       90.118087        0.303090
BFGS:   19 17:58:44       90.111579        0.177925
BFGS:   20 17:58:44       90.107129        0.117764
BFGS:   21 17:58:44       90.103479        0.174312
BFGS:   22 17:58:44       90.099404        0.262502
BFGS:   23 17:58:44       90.093916        0.277487
BFGS:   24 17:58:44       90.087002        0.190924
BFGS:   25 17:58:44       90.080419        0.152668
BFGS:   26 17:58:44       90.074185        0.173752
BFGS:   27 17:58:45       90.066143        0.225561
BFGS:   28 17:58:45       90.057046        0.264614
BFGS:   29 17:58:45       90.046989        0.223431
BFGS:   30 17:58:45       90.038291        0.133029
