      Step     Time          Energy          fmax
BFGS:    0 14:47:27      102.320491       37.282073
BFGS:    1 14:47:27       94.933475       10.019778
BFGS:    2 14:47:27       92.082434        3.432751
BFGS:    3 14:47:27       91.323948        2.036215
BFGS:    4 14:47:27       90.890326        0.985248
BFGS:    5 14:47:27       90.631990        1.059464
BFGS:    6 14:47:27       90.438252        1.077288
BFGS:    7 14:47:28       90.355290        0.937245
BFGS:    8 14:47:28       90.305245        0.765265
BFGS:    9 14:47:28       90.260269        0.530220
BFGS:   10 14:47:28       90.228940        0.600193
BFGS:   11 14:47:28       90.204982        0.375608
BFGS:   12 14:47:28       90.190188        0.321660
BFGS:   13 14:47:28       90.176694        0.310179
BFGS:   14 14:47:29       90.164915        0.414325
BFGS:   15 14:47:29       90.152860        0.430680
BFGS:   16 14:47:29       90.140607        0.289495
BFGS:   17 14:47:29       90.129885        0.242292
BFGS:   18 14:47:29       90.121948        0.177513
BFGS:   19 14:47:29       90.114579        0.279290
BFGS:   20 14:47:29       90.105315        0.277816
BFGS:   21 14:47:29       90.096733        0.180303
BFGS:   22 14:47:30       90.091014        0.139790
BFGS:   23 14:47:30       90.086747        0.142591
BFGS:   24 14:47:30       90.082153        0.197969
BFGS:   25 14:47:30       90.075779        0.193233
BFGS:   26 14:47:30       90.069246        0.220595
BFGS:   27 14:47:30       90.064649        0.182414
BFGS:   28 14:47:30       90.061126        0.116348
BFGS:   29 14:47:30       90.057823        0.143659
BFGS:   30 14:47:31       90.053878        0.163436
      Step     Time          Energy          fmax
BFGS:    0 14:54:36      102.320491       37.282073
BFGS:    1 14:54:36       94.933475       10.019778
BFGS:    2 14:54:36       92.082434        3.432751
BFGS:    3 14:54:36       91.323948        2.036215
BFGS:    4 14:54:37       90.890326        0.985248
BFGS:    5 14:54:37       90.631990        1.059464
BFGS:    6 14:54:37       90.438252        1.077288
BFGS:    7 14:54:37       90.355290        0.937245
BFGS:    8 14:54:37       90.305245        0.765265
BFGS:    9 14:54:37       90.260269        0.530220
BFGS:   10 14:54:37       90.228940        0.600193
BFGS:   11 14:54:38       90.204982        0.375608
BFGS:   12 14:54:38       90.190188        0.321660
BFGS:   13 14:54:38       90.176694        0.310179
BFGS:   14 14:54:38       90.164915        0.414325
BFGS:   15 14:54:38       90.152860        0.430680
BFGS:   16 14:54:38       90.140607        0.289495
BFGS:   17 14:54:39       90.129885        0.242292
BFGS:   18 14:54:39       90.121948        0.177513
BFGS:   19 14:54:39       90.114579        0.279290
BFGS:   20 14:54:39       90.105315        0.277816
BFGS:   21 14:54:39       90.096733        0.180303
BFGS:   22 14:54:39       90.091014        0.139790
BFGS:   23 14:54:39       90.086747        0.142591
BFGS:   24 14:54:39       90.082153        0.197969
BFGS:   25 14:54:39       90.075779        0.193233
BFGS:   26 14:54:40       90.069246        0.220595
BFGS:   27 14:54:40       90.064649        0.182414
BFGS:   28 14:54:40       90.061126        0.116348
BFGS:   29 14:54:40       90.057823        0.143659
BFGS:   30 14:54:40       90.053878        0.163436
      Step     Time          Energy          fmax
BFGS:    0 17:58:45      102.320491       37.282073
BFGS:    1 17:58:45       94.933475       10.019778
BFGS:    2 17:58:45       92.082434        3.432751
BFGS:    3 17:58:46       91.323948        2.036215
BFGS:    4 17:58:46       90.890326        0.985248
BFGS:    5 17:58:46       90.631990        1.059464
BFGS:    6 17:58:46       90.438252        1.077288
BFGS:    7 17:58:46       90.355290        0.937245
BFGS:    8 17:58:46       90.305245        0.765265
BFGS:    9 17:58:46       90.260269        0.530220
BFGS:   10 17:58:47       90.228940        0.600193
BFGS:   11 17:58:47       90.204982        0.375608
BFGS:   12 17:58:47       90.190188        0.321660
BFGS:   13 17:58:47       90.176694        0.310179
BFGS:   14 17:58:47       90.164915        0.414325
BFGS:   15 17:58:47       90.152860        0.430680
BFGS:   16 17:58:47       90.140607        0.289495
BFGS:   17 17:58:47       90.129885        0.242292
BFGS:   18 17:58:47       90.121948        0.177513
BFGS:   19 17:58:47       90.114579        0.279290
BFGS:   20 17:58:48       90.105315        0.277816
BFGS:   21 17:58:48       90.096733        0.180303
BFGS:   22 17:58:48       90.091014        0.139790
BFGS:   23 17:58:48       90.086747        0.142591
BFGS:   24 17:58:48       90.082153        0.197969
BFGS:   25 17:58:48       90.075779        0.193233
BFGS:   26 17:58:48       90.069246        0.220595
BFGS:   27 17:58:48       90.064649        0.182414
BFGS:   28 17:58:49       90.061126        0.116348
BFGS:   29 17:58:49       90.057823        0.143659
BFGS:   30 17:58:49       90.053878        0.163436
