      Step     Time          Energy          fmax
BFGS:    0 14:47:18       99.222334       23.787050
BFGS:    1 14:47:19       93.608821        7.477209
BFGS:    2 14:47:19       91.749589        2.926361
BFGS:    3 14:47:19       91.136407        1.347487
BFGS:    4 14:47:19       90.798273        0.935055
BFGS:    5 14:47:19       90.557270        1.044866
BFGS:    6 14:47:19       90.390160        0.973991
BFGS:    7 14:47:19       90.323207        0.823780
BFGS:    8 14:47:19       90.277975        0.643244
BFGS:    9 14:47:19       90.237371        0.527473
BFGS:   10 14:47:20       90.210056        0.521905
BFGS:   11 14:47:20       90.191903        0.334213
BFGS:   12 14:47:20       90.179506        0.343636
BFGS:   13 14:47:20       90.167259        0.342398
BFGS:   14 14:47:20       90.155436        0.459146
BFGS:   15 14:47:20       90.143563        0.405799
BFGS:   16 14:47:20       90.132839        0.200442
BFGS:   17 14:47:21       90.124618        0.177965
BFGS:   18 14:47:21       90.118616        0.225192
BFGS:   19 14:47:21       90.111781        0.290685
BFGS:   20 14:47:21       90.103913        0.215036
BFGS:   21 14:47:21       90.097931        0.167988
BFGS:   22 14:47:21       90.093725        0.131092
BFGS:   23 14:47:21       90.089613        0.196524
BFGS:   24 14:47:21       90.083645        0.244006
BFGS:   25 14:47:21       90.074528        0.235647
BFGS:   26 14:47:22       90.066453        0.267011
BFGS:   27 14:47:22       90.059812        0.202762
BFGS:   28 14:47:22       90.053548        0.137571
BFGS:   29 14:47:22       90.047846        0.215467
BFGS:   30 14:47:23       90.041122        0.214908
      Step     Time          Energy          fmax
BFGS:    0 14:54:27       99.222334       23.787050
BFGS:    1 14:54:27       93.608821        7.477209
BFGS:    2 14:54:28       91.749589        2.926361
BFGS:    3 14:54:28       91.136407        1.347487
BFGS:    4 14:54:28       90.798273        0.935055
BFGS:    5 14:54:28       90.557270        1.044866
BFGS:    6 14:54:28       90.390160        0.973991
BFGS:    7 14:54:28       90.323207        0.823780
BFGS:    8 14:54:28       90.277975        0.643244
BFGS:    9 14:54:28       90.237371        0.527473
BFGS:   10 14:54:29       90.210056        0.521905
BFGS:   11 14:54:29       90.191903        0.334213
BFGS:   12 14:54:29       90.179506        0.343636
BFGS:   13 14:54:29       90.167259        0.342398
BFGS:   14 14:54:29       90.155436        0.459146
BFGS:   15 14:54:29       90.143563        0.405799
BFGS:   16 14:54:29       90.132839        0.200442
BFGS:   17 14:54:30       90.124618        0.177965
BFGS:   18 14:54:30       90.118616        0.225192
BFGS:   19 14:54:30       90.111781        0.290685
BFGS:   20 14:54:30       90.103913        0.215036
BFGS:   21 14:54:30       90.097931        0.167988
BFGS:   22 14:54:30       90.093725        0.131092
BFGS:   23 14:54:31       90.089613        0.196524
BFGS:   24 14:54:31       90.083645        0.244006
BFGS:   25 14:54:31       90.074528        0.235647
BFGS:   26 14:54:31       90.066453        0.267011
BFGS:   27 14:54:31       90.059812        0.202762
BFGS:   28 14:54:31       90.053548        0.137571
BFGS:   29 14:54:31       90.047846        0.215467
BFGS:   30 14:54:31       90.041122        0.214908
      Step     Time          Energy          fmax
BFGS:    0 17:58:37       99.222334       23.787050
BFGS:    1 17:58:37       93.608821        7.477209
BFGS:    2 17:58:37       91.749589        2.926361
BFGS:    3 17:58:38       91.136407        1.347487
BFGS:    4 17:58:38       90.798273        0.935055
BFGS:    5 17:58:38       90.557270        1.044866
BFGS:    6 17:58:38       90.390160        0.973991
BFGS:    7 17:58:38       90.323207        0.823780
BFGS:    8 17:58:38       90.277975        0.643244
BFGS:    9 17:58:38       90.237371        0.527473
BFGS:   10 17:58:39       90.210056        0.521905
BFGS:   11 17:58:39       90.191903        0.334213
BFGS:   12 17:58:39       90.179506        0.343636
BFGS:   13 17:58:39       90.167259        0.342398
BFGS:   14 17:58:39       90.155436        0.459146
BFGS:   15 17:58:39       90.143563        0.405799
BFGS:   16 17:58:39       90.132839        0.200442
BFGS:   17 17:58:40       90.124618        0.177965
BFGS:   18 17:58:40       90.118616        0.225192
BFGS:   19 17:58:40       90.111781        0.290685
BFGS:   20 17:58:40       90.103913        0.215036
BFGS:   21 17:58:40       90.097931        0.167988
BFGS:   22 17:58:40       90.093725        0.131092
BFGS:   23 17:58:40       90.089613        0.196524
BFGS:   24 17:58:40       90.083645        0.244006
BFGS:   25 17:58:40       90.074528        0.235647
BFGS:   26 17:58:41       90.066453        0.267011
BFGS:   27 17:58:41       90.059812        0.202762
BFGS:   28 17:58:41       90.053548        0.137571
BFGS:   29 17:58:41       90.047846        0.215467
BFGS:   30 17:58:41       90.041122        0.214908
