      Step     Time          Energy          fmax
BFGS:    0 14:46:16      108.313025       59.680930
BFGS:    1 14:46:17       97.414265       13.740173
BFGS:    2 14:46:17       93.424687        6.645670
BFGS:    3 14:46:17       92.094791        3.356738
BFGS:    4 14:46:17       91.369452        1.808462
BFGS:    5 14:46:17       90.989860        1.157858
BFGS:    6 14:46:17       90.721058        1.114524
BFGS:    7 14:46:17       90.620933        1.080860
BFGS:    8 14:46:17       90.563476        0.909555
BFGS:    9 14:46:17       90.476411        0.513011
BFGS:   10 14:46:17       90.419001        0.447741
BFGS:   11 14:46:17       90.388906        0.545642
BFGS:   12 14:46:18       90.361668        0.557835
BFGS:   13 14:46:18       90.327234        0.486015
BFGS:   14 14:46:18       90.294614        0.481711
BFGS:   15 14:46:18       90.267401        0.320985
BFGS:   16 14:46:18       90.248058        0.332952
BFGS:   17 14:46:18       90.233119        0.295981
BFGS:   18 14:46:18       90.216779        0.401843
BFGS:   19 14:46:18       90.202545        0.331962
BFGS:   20 14:46:18       90.195372        0.129404
BFGS:   21 14:46:18       90.191412        0.123254
BFGS:   22 14:46:19       90.186948        0.193799
BFGS:   23 14:46:19       90.181692        0.253085
BFGS:   24 14:46:19       90.176598        0.191175
BFGS:   25 14:46:19       90.172515        0.098993
BFGS:   26 14:46:19       90.169088        0.110676
BFGS:   27 14:46:19       90.165287        0.224364
BFGS:   28 14:46:19       90.160707        0.251404
BFGS:   29 14:46:19       90.156768        0.156078
BFGS:   30 14:46:20       90.154071        0.092870
      Step     Time          Energy          fmax
BFGS:    0 14:53:25      108.313025       59.680930
BFGS:    1 14:53:25       97.414265       13.740173
BFGS:    2 14:53:25       93.424687        6.645670
BFGS:    3 14:53:25       92.094791        3.356738
BFGS:    4 14:53:26       91.369452        1.808462
BFGS:    5 14:53:26       90.989860        1.157858
BFGS:    6 14:53:26       90.721058        1.114524
BFGS:    7 14:53:26       90.620933        1.080860
BFGS:    8 14:53:26       90.563476        0.909555
BFGS:    9 14:53:26       90.476411        0.513011
BFGS:   10 14:53:26       90.419001        0.447741
BFGS:   11 14:53:27       90.388906        0.545642
BFGS:   12 14:53:27       90.361668        0.557835
BFGS:   13 14:53:27       90.327234        0.486015
BFGS:   14 14:53:27       90.294614        0.481711
BFGS:   15 14:53:27       90.267401        0.320985
BFGS:   16 14:53:27       90.248058        0.332952
BFGS:   17 14:53:27       90.233119        0.295981
BFGS:   18 14:53:27       90.216779        0.401843
BFGS:   19 14:53:28       90.202545        0.331962
BFGS:   20 14:53:28       90.195372        0.129404
BFGS:   21 14:53:28       90.191412        0.123254
BFGS:   22 14:53:28       90.186948        0.193799
BFGS:   23 14:53:28       90.181692        0.253085
BFGS:   24 14:53:28       90.176598        0.191175
BFGS:   25 14:53:28       90.172515        0.098993
BFGS:   26 14:53:28       90.169088        0.110676
BFGS:   27 14:53:29       90.165287        0.224364
BFGS:   28 14:53:29       90.160707        0.251404
BFGS:   29 14:53:29       90.156768        0.156078
BFGS:   30 14:53:29       90.154071        0.092870
      Step     Time          Energy          fmax
BFGS:    0 17:57:39      108.313025       59.680930
BFGS:    1 17:57:39       97.414265       13.740173
BFGS:    2 17:57:39       93.424687        6.645670
BFGS:    3 17:57:39       92.094791        3.356738
BFGS:    4 17:57:39       91.369452        1.808462
BFGS:    5 17:57:39       90.989860        1.157858
BFGS:    6 17:57:39       90.721058        1.114524
BFGS:    7 17:57:40       90.620933        1.080860
BFGS:    8 17:57:40       90.563476        0.909555
BFGS:    9 17:57:40       90.476411        0.513011
BFGS:   10 17:57:40       90.419001        0.447741
BFGS:   11 17:57:40       90.388906        0.545642
BFGS:   12 17:57:40       90.361668        0.557835
BFGS:   13 17:57:40       90.327234        0.486015
BFGS:   14 17:57:41       90.294614        0.481711
BFGS:   15 17:57:41       90.267401        0.320985
BFGS:   16 17:57:41       90.248058        0.332952
BFGS:   17 17:57:41       90.233119        0.295981
BFGS:   18 17:57:41       90.216779        0.401843
BFGS:   19 17:57:41       90.202545        0.331962
BFGS:   20 17:57:41       90.195372        0.129404
BFGS:   21 17:57:41       90.191412        0.123254
BFGS:   22 17:57:41       90.186948        0.193799
BFGS:   23 17:57:41       90.181692        0.253085
BFGS:   24 17:57:42       90.176598        0.191175
BFGS:   25 17:57:42       90.172515        0.098993
BFGS:   26 17:57:42       90.169088        0.110676
BFGS:   27 17:57:42       90.165287        0.224364
BFGS:   28 17:57:42       90.160707        0.251404
BFGS:   29 17:57:42       90.156768        0.156078
BFGS:   30 17:57:42       90.154071        0.092870
