      Step     Time          Energy          fmax
BFGS:    0 14:45:59       97.103195       15.032495
BFGS:    1 14:45:59       92.347881        4.868576
BFGS:    2 14:45:59       91.383642        2.310256
BFGS:    3 14:46:00       90.914420        0.778740
BFGS:    4 14:46:00       90.661733        0.944669
BFGS:    5 14:46:00       90.440179        1.058995
BFGS:    6 14:46:00       90.312033        0.854421
BFGS:    7 14:46:00       90.260680        0.597709
BFGS:    8 14:46:00       90.223243        0.431698
BFGS:    9 14:46:00       90.197484        0.453574
BFGS:   10 14:46:00       90.178882        0.398128
BFGS:   11 14:46:00       90.165654        0.317651
BFGS:   12 14:46:01       90.155610        0.307309
BFGS:   13 14:46:01       90.145967        0.323069
BFGS:   14 14:46:01       90.136163        0.394455
BFGS:   15 14:46:01       90.125775        0.324668
BFGS:   16 14:46:01       90.115876        0.199492
BFGS:   17 14:46:01       90.108056        0.187689
BFGS:   18 14:46:01       90.101746        0.219352
BFGS:   19 14:46:01       90.094510        0.268585
BFGS:   20 14:46:01       90.086214        0.200573
BFGS:   21 14:46:02       90.079306        0.185268
BFGS:   22 14:46:02       90.074280        0.128255
BFGS:   23 14:46:02       90.069697        0.172230
BFGS:   24 14:46:02       90.063770        0.210668
BFGS:   25 14:46:02       90.055800        0.248330
BFGS:   26 14:46:02       90.048339        0.267707
BFGS:   27 14:46:02       90.042214        0.198727
BFGS:   28 14:46:02       90.037257        0.121521
BFGS:   29 14:46:02       90.032722        0.208986
BFGS:   30 14:46:03       90.027358        0.208878
      Step     Time          Energy          fmax
BFGS:    0 14:53:05       97.103195       15.032495
BFGS:    1 14:53:06       92.347881        4.868576
BFGS:    2 14:53:06       91.383642        2.310256
BFGS:    3 14:53:06       90.914420        0.778740
BFGS:    4 14:53:06       90.661733        0.944669
BFGS:    5 14:53:06       90.440179        1.058995
BFGS:    6 14:53:06       90.312033        0.854421
BFGS:    7 14:53:06       90.260680        0.597709
BFGS:    8 14:53:06       90.223243        0.431698
BFGS:    9 14:53:07       90.197484        0.453574
BFGS:   10 14:53:07       90.178882        0.398128
BFGS:   11 14:53:07       90.165654        0.317651
BFGS:   12 14:53:07       90.155610        0.307309
BFGS:   13 14:53:07       90.145967        0.323069
BFGS:   14 14:53:07       90.136163        0.394455
BFGS:   15 14:53:07       90.125775        0.324668
BFGS:   16 14:53:08       90.115876        0.199492
BFGS:   17 14:53:08       90.108056        0.187689
BFGS:   18 14:53:08       90.101746        0.219352
BFGS:   19 14:53:08       90.094510        0.268585
BFGS:   20 14:53:08       90.086214        0.200573
BFGS:   21 14:53:08       90.079306        0.185268
BFGS:   22 14:53:08       90.074280        0.128255
BFGS:   23 14:53:08       90.069697        0.172230
BFGS:   24 14:53:09       90.063770        0.210668
BFGS:   25 14:53:09       90.055800        0.248330
BFGS:   26 14:53:09       90.048339        0.267707
BFGS:   27 14:53:09       90.042214        0.198727
BFGS:   28 14:53:09       90.037257        0.121521
BFGS:   29 14:53:09       90.032722        0.208986
BFGS:   30 14:53:09       90.027358        0.208878
      Step     Time          Energy          fmax
BFGS:    0 17:57:21       97.103195       15.032495
BFGS:    1 17:57:21       92.347881        4.868576
BFGS:    2 17:57:21       91.383642        2.310256
BFGS:    3 17:57:21       90.914420        0.778740
BFGS:    4 17:57:21       90.661733        0.944669
BFGS:    5 17:57:21       90.440179        1.058995
BFGS:    6 17:57:22       90.312033        0.854421
BFGS:    7 17:57:22       90.260680        0.597709
BFGS:    8 17:57:22       90.223243        0.431698
BFGS:    9 17:57:22       90.197484        0.453574
BFGS:   10 17:57:22       90.178882        0.398128
BFGS:   11 17:57:22       90.165654        0.317651
BFGS:   12 17:57:22       90.155610        0.307309
BFGS:   13 17:57:22       90.145967        0.323069
BFGS:   14 17:57:22       90.136163        0.394455
BFGS:   15 17:57:22       90.125775        0.324668
BFGS:   16 17:57:23       90.115876        0.199492
BFGS:   17 17:57:23       90.108056        0.187689
BFGS:   18 17:57:23       90.101746        0.219352
BFGS:   19 17:57:23       90.094510        0.268585
BFGS:   20 17:57:23       90.086214        0.200573
BFGS:   21 17:57:23       90.079306        0.185268
BFGS:   22 17:57:23       90.074280        0.128255
BFGS:   23 17:57:23       90.069697        0.172230
BFGS:   24 17:57:23       90.063770        0.210668
BFGS:   25 17:57:23       90.055800        0.248330
BFGS:   26 17:57:23       90.048339        0.267707
BFGS:   27 17:57:24       90.042214        0.198727
BFGS:   28 17:57:24       90.037257        0.121521
BFGS:   29 17:57:24       90.032722        0.208986
BFGS:   30 17:57:24       90.027358        0.208878
