      Step     Time          Energy          fmax
BFGS:    0 14:46:31      100.855304       31.316353
BFGS:    1 14:46:31       94.308796        8.882451
BFGS:    2 14:46:31       91.890927        3.095985
BFGS:    3 14:46:31       91.212383        1.667217
BFGS:    4 14:46:32       90.833376        0.935119
BFGS:    5 14:46:32       90.590135        1.047212
BFGS:    6 14:46:32       90.406971        0.995206
BFGS:    7 14:46:32       90.328443        0.836491
BFGS:    8 14:46:32       90.280964        0.663125
BFGS:    9 14:46:32       90.241267        0.449330
BFGS:   10 14:46:33       90.215212        0.546857
BFGS:   11 14:46:33       90.193730        0.352909
BFGS:   12 14:46:33       90.179925        0.305880
BFGS:   13 14:46:33       90.167738        0.298518
BFGS:   14 14:46:33       90.157111        0.376366
BFGS:   15 14:46:33       90.146088        0.398361
BFGS:   16 14:46:33       90.134319        0.277710
BFGS:   17 14:46:33       90.123616        0.265148
BFGS:   18 14:46:34       90.115499        0.203132
BFGS:   19 14:46:34       90.108088        0.253757
BFGS:   20 14:46:34       90.098955        0.268035
BFGS:   21 14:46:34       90.089878        0.208440
BFGS:   22 14:46:34       90.083659        0.145567
BFGS:   23 14:46:34       90.079391        0.122740
BFGS:   24 14:46:34       90.075354        0.169662
BFGS:   25 14:46:35       90.070100        0.178560
BFGS:   26 14:46:35       90.064321        0.221422
BFGS:   27 14:46:35       90.060196        0.189340
BFGS:   28 14:46:35       90.057395        0.127925
BFGS:   29 14:46:35       90.054780        0.122972
BFGS:   30 14:46:35       90.051586        0.166109
      Step     Time          Energy          fmax
BFGS:    0 14:53:41      100.855304       31.316353
BFGS:    1 14:53:41       94.308796        8.882451
BFGS:    2 14:53:42       91.890927        3.095985
BFGS:    3 14:53:42       91.212383        1.667217
BFGS:    4 14:53:42       90.833376        0.935119
BFGS:    5 14:53:42       90.590135        1.047212
BFGS:    6 14:53:42       90.406971        0.995206
BFGS:    7 14:53:42       90.328443        0.836491
BFGS:    8 14:53:43       90.280964        0.663125
BFGS:    9 14:53:43       90.241267        0.449330
BFGS:   10 14:53:43       90.215212        0.546857
BFGS:   11 14:53:43       90.193730        0.352909
BFGS:   12 14:53:43       90.179925        0.305880
BFGS:   13 14:53:43       90.167738        0.298518
BFGS:   14 14:53:44       90.157111        0.376366
BFGS:   15 14:53:44       90.146088        0.398361
BFGS:   16 14:53:44       90.134319        0.277710
BFGS:   17 14:53:44       90.123616        0.265148
BFGS:   18 14:53:44       90.115499        0.203132
BFGS:   19 14:53:44       90.108088        0.253757
BFGS:   20 14:53:44       90.098955        0.268035
BFGS:   21 14:53:45       90.089878        0.208440
BFGS:   22 14:53:45       90.083659        0.145567
BFGS:   23 14:53:45       90.079391        0.122740
BFGS:   24 14:53:45       90.075354        0.169662
BFGS:   25 14:53:45       90.070100        0.178560
BFGS:   26 14:53:45       90.064321        0.221422
BFGS:   27 14:53:46       90.060196        0.189340
BFGS:   28 14:53:46       90.057395        0.127925
BFGS:   29 14:53:46       90.054780        0.122972
BFGS:   30 14:53:46       90.051586        0.166109
      Step     Time          Energy          fmax
BFGS:    0 17:57:54      100.855304       31.316353
BFGS:    1 17:57:54       94.308796        8.882451
BFGS:    2 17:57:54       91.890927        3.095985
BFGS:    3 17:57:55       91.212383        1.667217
BFGS:    4 17:57:55       90.833376        0.935119
BFGS:    5 17:57:55       90.590135        1.047212
BFGS:    6 17:57:55       90.406971        0.995206
BFGS:    7 17:57:55       90.328443        0.836491
BFGS:    8 17:57:55       90.280964        0.663125
BFGS:    9 17:57:56       90.241267        0.449330
BFGS:   10 17:57:56       90.215212        0.546857
BFGS:   11 17:57:56       90.193730        0.352909
BFGS:   12 17:57:56       90.179925        0.305880
BFGS:   13 17:57:56       90.167738        0.298518
BFGS:   14 17:57:56       90.157111        0.376366
BFGS:   15 17:57:56       90.146088        0.398361
BFGS:   16 17:57:57       90.134319        0.277710
BFGS:   17 17:57:57       90.123616        0.265148
BFGS:   18 17:57:57       90.115499        0.203132
BFGS:   19 17:57:57       90.108088        0.253757
BFGS:   20 17:57:57       90.098955        0.268035
BFGS:   21 17:57:57       90.089878        0.208440
BFGS:   22 17:57:57       90.083659        0.145567
BFGS:   23 17:57:58       90.079391        0.122740
BFGS:   24 17:57:58       90.075354        0.169662
BFGS:   25 17:57:58       90.070100        0.178560
BFGS:   26 17:57:58       90.064321        0.221422
BFGS:   27 17:57:58       90.060196        0.189340
BFGS:   28 17:57:58       90.057395        0.127925
BFGS:   29 17:57:58       90.054780        0.122972
BFGS:   30 17:57:58       90.051586        0.166109
