      Step     Time          Energy          fmax
BFGS:    0 14:46:20      100.113929       21.079097
BFGS:    1 14:46:20       94.519745        8.675248
BFGS:    2 14:46:20       92.248217        3.414284
BFGS:    3 14:46:20       91.557997        1.556027
BFGS:    4 14:46:20       91.173473        1.005654
BFGS:    5 14:46:20       90.859451        1.150213
BFGS:    6 14:46:20       90.683751        1.121539
BFGS:    7 14:46:21       90.611706        0.870930
BFGS:    8 14:46:21       90.529300        0.491691
BFGS:    9 14:46:21       90.471902        0.462776
BFGS:   10 14:46:21       90.440366        0.568223
BFGS:   11 14:46:21       90.405029        0.564819
BFGS:   12 14:46:21       90.368204        0.447128
BFGS:   13 14:46:21       90.335817        0.393829
BFGS:   14 14:46:21       90.307607        0.317494
BFGS:   15 14:46:22       90.284124        0.407344
BFGS:   16 14:46:22       90.262474        0.368638
BFGS:   17 14:46:22       90.240287        0.393969
BFGS:   18 14:46:22       90.224832        0.256559
BFGS:   19 14:46:22       90.217643        0.102573
BFGS:   20 14:46:22       90.213150        0.104594
BFGS:   21 14:46:22       90.208157        0.165980
BFGS:   22 14:46:22       90.203370        0.159814
BFGS:   23 14:46:23       90.199866        0.096151
BFGS:   24 14:46:23       90.197139        0.077909
BFGS:   25 14:46:23       90.193945        0.170178
BFGS:   26 14:46:23       90.189519        0.248136
BFGS:   27 14:46:23       90.184995        0.217727
BFGS:   28 14:46:23       90.181938        0.103055
BFGS:   29 14:46:23       90.179822        0.069259
BFGS:   30 14:46:23       90.177319        0.139916
      Step     Time          Energy          fmax
BFGS:    0 14:53:29      100.113929       21.079097
BFGS:    1 14:53:29       94.519745        8.675248
BFGS:    2 14:53:29       92.248217        3.414284
BFGS:    3 14:53:30       91.557997        1.556027
BFGS:    4 14:53:30       91.173473        1.005654
BFGS:    5 14:53:30       90.859451        1.150213
BFGS:    6 14:53:30       90.683751        1.121539
BFGS:    7 14:53:30       90.611706        0.870930
BFGS:    8 14:53:30       90.529300        0.491691
BFGS:    9 14:53:30       90.471902        0.462776
BFGS:   10 14:53:30       90.440366        0.568223
BFGS:   11 14:53:31       90.405029        0.564819
BFGS:   12 14:53:31       90.368204        0.447128
BFGS:   13 14:53:31       90.335817        0.393829
BFGS:   14 14:53:31       90.307607        0.317494
BFGS:   15 14:53:31       90.284124        0.407344
BFGS:   16 14:53:31       90.262474        0.368638
BFGS:   17 14:53:31       90.240287        0.393969
BFGS:   18 14:53:31       90.224832        0.256559
BFGS:   19 14:53:32       90.217643        0.102573
BFGS:   20 14:53:32       90.213150        0.104594
BFGS:   21 14:53:32       90.208157        0.165980
BFGS:   22 14:53:32       90.203370        0.159814
BFGS:   23 14:53:32       90.199866        0.096151
BFGS:   24 14:53:32       90.197139        0.077909
BFGS:   25 14:53:32       90.193945        0.170178
BFGS:   26 14:53:32       90.189519        0.248136
BFGS:   27 14:53:32       90.184995        0.217727
BFGS:   28 14:53:33       90.181938        0.103055
BFGS:   29 14:53:33       90.179822        0.069259
BFGS:   30 14:53:33       90.177319        0.139916
      Step     Time          Energy          fmax
BFGS:    0 17:57:42      100.113929       21.079097
BFGS:    1 17:57:42       94.519745        8.675248
BFGS:    2 17:57:43       92.248217        3.414284
BFGS:    3 17:57:43       91.557997        1.556027
BFGS:    4 17:57:43       91.173473        1.005654
BFGS:    5 17:57:43       90.859451        1.150213
BFGS:    6 17:57:43       90.683751        1.121539
BFGS:    7 17:57:43       90.611706        0.870930
BFGS:    8 17:57:43       90.529300        0.491691
BFGS:    9 17:57:44       90.471902        0.462776
BFGS:   10 17:57:44       90.440366        0.568223
BFGS:   11 17:57:44       90.405029        0.564819
BFGS:   12 17:57:44       90.368204        0.447128
BFGS:   13 17:57:44       90.335817        0.393829
BFGS:   14 17:57:44       90.307607        0.317494
BFGS:   15 17:57:44       90.284124        0.407344
BFGS:   16 17:57:44       90.262474        0.368638
BFGS:   17 17:57:45       90.240287        0.393969
BFGS:   18 17:57:45       90.224832        0.256559
BFGS:   19 17:57:45       90.217643        0.102573
BFGS:   20 17:57:45       90.213150        0.104594
BFGS:   21 17:57:45       90.208157        0.165980
BFGS:   22 17:57:45       90.203370        0.159814
BFGS:   23 17:57:45       90.199866        0.096151
BFGS:   24 17:57:45       90.197139        0.077909
BFGS:   25 17:57:45       90.193945        0.170178
BFGS:   26 17:57:46       90.189519        0.248136
BFGS:   27 17:57:46       90.184995        0.217727
BFGS:   28 17:57:46       90.181938        0.103055
BFGS:   29 17:57:46       90.179822        0.069259
BFGS:   30 17:57:46       90.177319        0.139916
