      Step     Time          Energy          fmax
BFGS:    0 14:46:52       94.487814        7.791630
BFGS:    1 14:46:52       91.942433        3.861363
BFGS:    2 14:46:53       91.148170        1.970152
BFGS:    3 14:46:53       90.791894        0.833819
BFGS:    4 14:46:53       90.601976        1.011779
BFGS:    5 14:46:53       90.388665        1.161118
BFGS:    6 14:46:53       90.262758        0.786055
BFGS:    7 14:46:53       90.221361        0.392038
BFGS:    8 14:46:54       90.202574        0.282961
BFGS:    9 14:46:54       90.191181        0.305762
BFGS:   10 14:46:54       90.178979        0.265677
BFGS:   11 14:46:54       90.167625        0.269232
BFGS:   12 14:46:54       90.158019        0.262800
BFGS:   13 14:46:54       90.149713        0.229683
BFGS:   14 14:46:54       90.140429        0.223753
BFGS:   15 14:46:55       90.126802        0.278998
BFGS:   16 14:46:55       90.109406        0.321876
BFGS:   17 14:46:55       90.095634        0.219266
BFGS:   18 14:46:55       90.087120        0.163310
BFGS:   19 14:46:55       90.079321        0.188473
BFGS:   20 14:46:55       90.072010        0.218590
BFGS:   21 14:46:55       90.065846        0.149299
BFGS:   22 14:46:56       90.062148        0.077997
BFGS:   23 14:46:56       90.059881        0.077094
BFGS:   24 14:46:56       90.057241        0.131522
BFGS:   25 14:46:56       90.053627        0.162384
BFGS:   26 14:46:56       90.049734        0.125214
BFGS:   27 14:46:56       90.046478        0.092035
BFGS:   28 14:46:56       90.043958        0.091390
BFGS:   29 14:46:57       90.042016        0.105285
BFGS:   30 14:46:57       90.040412        0.085377
      Step     Time          Energy          fmax
BFGS:    0 14:54:01       94.487814        7.791630
BFGS:    1 14:54:01       91.942433        3.861363
BFGS:    2 14:54:02       91.148170        1.970152
BFGS:    3 14:54:02       90.791894        0.833819
BFGS:    4 14:54:02       90.601976        1.011779
BFGS:    5 14:54:02       90.388665        1.161118
BFGS:    6 14:54:02       90.262758        0.786055
BFGS:    7 14:54:02       90.221361        0.392038
BFGS:    8 14:54:03       90.202574        0.282961
BFGS:    9 14:54:03       90.191181        0.305762
BFGS:   10 14:54:03       90.178979        0.265677
BFGS:   11 14:54:03       90.167625        0.269232
BFGS:   12 14:54:03       90.158019        0.262800
BFGS:   13 14:54:03       90.149713        0.229683
BFGS:   14 14:54:03       90.140429        0.223753
BFGS:   15 14:54:04       90.126802        0.278998
BFGS:   16 14:54:04       90.109406        0.321876
BFGS:   17 14:54:04       90.095634        0.219266
BFGS:   18 14:54:04       90.087120        0.163310
BFGS:   19 14:54:04       90.079321        0.188473
BFGS:   20 14:54:04       90.072010        0.218590
BFGS:   21 14:54:04       90.065846        0.149299
BFGS:   22 14:54:04       90.062148        0.077997
BFGS:   23 14:54:05       90.059881        0.077094
BFGS:   24 14:54:05       90.057241        0.131522
BFGS:   25 14:54:05       90.053627        0.162384
BFGS:   26 14:54:05       90.049734        0.125214
BFGS:   27 14:54:05       90.046478        0.092035
BFGS:   28 14:54:05       90.043958        0.091390
BFGS:   29 14:54:05       90.042016        0.105285
BFGS:   30 14:54:05       90.040412        0.085377
      Step     Time          Energy          fmax
BFGS:    0 17:58:14       94.487814        7.791630
BFGS:    1 17:58:14       91.942433        3.861363
BFGS:    2 17:58:14       91.148170        1.970152
BFGS:    3 17:58:15       90.791894        0.833819
BFGS:    4 17:58:15       90.601976        1.011779
BFGS:    5 17:58:15       90.388665        1.161118
BFGS:    6 17:58:15       90.262758        0.786055
BFGS:    7 17:58:15       90.221361        0.392038
BFGS:    8 17:58:15       90.202574        0.282961
BFGS:    9 17:58:15       90.191181        0.305762
BFGS:   10 17:58:16       90.178979        0.265677
BFGS:   11 17:58:16       90.167625        0.269232
BFGS:   12 17:58:16       90.158019        0.262800
BFGS:   13 17:58:16       90.149713        0.229683
BFGS:   14 17:58:16       90.140429        0.223753
BFGS:   15 17:58:16       90.126802        0.278998
BFGS:   16 17:58:16       90.109406        0.321876
BFGS:   17 17:58:17       90.095634        0.219266
BFGS:   18 17:58:17       90.087120        0.163310
BFGS:   19 17:58:17       90.079321        0.188473
BFGS:   20 17:58:17       90.072010        0.218590
BFGS:   21 17:58:17       90.065846        0.149299
BFGS:   22 17:58:17       90.062148        0.077997
BFGS:   23 17:58:17       90.059881        0.077094
BFGS:   24 17:58:17       90.057241        0.131522
BFGS:   25 17:58:18       90.053627        0.162384
BFGS:   26 17:58:18       90.049734        0.125214
BFGS:   27 17:58:18       90.046478        0.092035
BFGS:   28 17:58:18       90.043958        0.091390
BFGS:   29 17:58:18       90.042016        0.105285
BFGS:   30 17:58:18       90.040412        0.085377
