      Step     Time          Energy          fmax
BFGS:    0 14:45:53       95.674068        9.140326
BFGS:    1 14:45:53       92.320778        4.426044
BFGS:    2 14:45:53       91.284616        2.035357
BFGS:    3 14:45:53       90.884693        0.781175
BFGS:    4 14:45:53       90.646410        0.919731
BFGS:    5 14:45:53       90.421776        1.009331
BFGS:    6 14:45:53       90.306081        0.834505
BFGS:    7 14:45:53       90.260042        0.649790
BFGS:    8 14:45:53       90.219614        0.405231
BFGS:    9 14:45:53       90.194458        0.481251
BFGS:   10 14:45:54       90.177335        0.334131
BFGS:   11 14:45:54       90.165564        0.340069
BFGS:   12 14:45:54       90.155079        0.300320
BFGS:   13 14:45:54       90.145022        0.400121
BFGS:   14 14:45:54       90.134745        0.387726
BFGS:   15 14:45:54       90.125091        0.224886
BFGS:   16 14:45:54       90.117129        0.158076
BFGS:   17 14:45:54       90.110970        0.199255
BFGS:   18 14:45:55       90.104534        0.283033
BFGS:   19 14:45:55       90.097043        0.237693
BFGS:   20 14:45:55       90.090439        0.166245
BFGS:   21 14:45:55       90.085363        0.130467
BFGS:   22 14:45:55       90.080651        0.198699
BFGS:   23 14:45:55       90.074466        0.263593
BFGS:   24 14:45:55       90.065313        0.239203
BFGS:   25 14:45:55       90.056599        0.236754
BFGS:   26 14:45:55       90.048530        0.198762
BFGS:   27 14:45:55       90.040198        0.120469
BFGS:   28 14:45:56       90.033064        0.211576
BFGS:   29 14:45:56       90.025314        0.244790
BFGS:   30 14:45:56       90.017916        0.181926
      Step     Time          Energy          fmax
BFGS:    0 14:52:59       95.674068        9.140326
BFGS:    1 14:52:59       92.320778        4.426044
BFGS:    2 14:52:59       91.284616        2.035357
BFGS:    3 14:52:59       90.884693        0.781175
BFGS:    4 14:52:59       90.646410        0.919731
BFGS:    5 14:52:59       90.421776        1.009331
BFGS:    6 14:52:59       90.306081        0.834505
BFGS:    7 14:52:59       90.260042        0.649790
BFGS:    8 14:53:00       90.219614        0.405231
BFGS:    9 14:53:00       90.194458        0.481251
BFGS:   10 14:53:00       90.177335        0.334131
BFGS:   11 14:53:00       90.165564        0.340069
BFGS:   12 14:53:00       90.155079        0.300320
BFGS:   13 14:53:00       90.145022        0.400121
BFGS:   14 14:53:00       90.134745        0.387726
BFGS:   15 14:53:00       90.125091        0.224886
BFGS:   16 14:53:00       90.117129        0.158076
BFGS:   17 14:53:01       90.110970        0.199255
BFGS:   18 14:53:01       90.104534        0.283033
BFGS:   19 14:53:01       90.097043        0.237693
BFGS:   20 14:53:01       90.090439        0.166245
BFGS:   21 14:53:01       90.085363        0.130467
BFGS:   22 14:53:01       90.080651        0.198699
BFGS:   23 14:53:01       90.074466        0.263593
BFGS:   24 14:53:01       90.065313        0.239203
BFGS:   25 14:53:01       90.056599        0.236754
BFGS:   26 14:53:01       90.048530        0.198762
BFGS:   27 14:53:02       90.040198        0.120469
BFGS:   28 14:53:02       90.033064        0.211576
BFGS:   29 14:53:02       90.025314        0.244790
BFGS:   30 14:53:02       90.017916        0.181926
      Step     Time          Energy          fmax
BFGS:    0 17:57:15       95.674068        9.140326
BFGS:    1 17:57:15       92.320778        4.426044
BFGS:    2 17:57:16       91.284616        2.035357
BFGS:    3 17:57:16       90.884693        0.781175
BFGS:    4 17:57:16       90.646410        0.919731
BFGS:    5 17:57:16       90.421776        1.009331
BFGS:    6 17:57:16       90.306081        0.834505
BFGS:    7 17:57:16       90.260042        0.649790
BFGS:    8 17:57:16       90.219614        0.405231
BFGS:    9 17:57:16       90.194458        0.481251
BFGS:   10 17:57:16       90.177335        0.334131
BFGS:   11 17:57:16       90.165564        0.340069
BFGS:   12 17:57:17       90.155079        0.300320
BFGS:   13 17:57:17       90.145022        0.400121
BFGS:   14 17:57:17       90.134745        0.387726
BFGS:   15 17:57:17       90.125091        0.224886
BFGS:   16 17:57:17       90.117129        0.158076
BFGS:   17 17:57:17       90.110970        0.199255
BFGS:   18 17:57:17       90.104534        0.283033
BFGS:   19 17:57:17       90.097043        0.237693
BFGS:   20 17:57:17       90.090439        0.166245
BFGS:   21 17:57:17       90.085363        0.130467
BFGS:   22 17:57:17       90.080651        0.198699
BFGS:   23 17:57:18       90.074466        0.263593
BFGS:   24 17:57:18       90.065313        0.239203
BFGS:   25 17:57:18       90.056599        0.236754
BFGS:   26 17:57:18       90.048530        0.198762
BFGS:   27 17:57:18       90.040198        0.120469
BFGS:   28 17:57:18       90.033064        0.211576
BFGS:   29 17:57:18       90.025314        0.244790
BFGS:   30 17:57:18       90.017916        0.181926
