      Step     Time          Energy          fmax
BFGS:    0 14:45:56       99.171514       24.267867
BFGS:    1 14:45:56       93.514183        7.342609
BFGS:    2 14:45:56       91.669067        2.831108
BFGS:    3 14:45:56       91.082914        1.252101
BFGS:    4 14:45:57       90.765022        0.916434
BFGS:    5 14:45:57       90.535772        1.028409
BFGS:    6 14:45:57       90.368464        0.979026
BFGS:    7 14:45:57       90.298305        0.718302
BFGS:    8 14:45:57       90.255057        0.547219
BFGS:    9 14:45:57       90.221684        0.384699
BFGS:   10 14:45:57       90.200517        0.484474
BFGS:   11 14:45:57       90.182298        0.306637
BFGS:   12 14:45:57       90.170156        0.294170
BFGS:   13 14:45:57       90.159481        0.283748
BFGS:   14 14:45:57       90.149824        0.353591
BFGS:   15 14:45:58       90.139451        0.369614
BFGS:   16 14:45:58       90.128103        0.254187
BFGS:   17 14:45:58       90.117591        0.272924
BFGS:   18 14:45:58       90.109479        0.213695
BFGS:   19 14:45:58       90.102045        0.241024
BFGS:   20 14:45:58       90.093003        0.255308
BFGS:   21 14:45:58       90.083838        0.239716
BFGS:   22 14:45:58       90.077415        0.173194
BFGS:   23 14:45:58       90.073090        0.115666
BFGS:   24 14:45:59       90.069191        0.154392
BFGS:   25 14:45:59       90.064363        0.172758
BFGS:   26 14:45:59       90.058885        0.226278
BFGS:   27 14:45:59       90.054727        0.200398
BFGS:   28 14:45:59       90.051970        0.139606
BFGS:   29 14:45:59       90.049480        0.112480
BFGS:   30 14:45:59       90.046397        0.175108
      Step     Time          Energy          fmax
BFGS:    0 14:53:02       99.171514       24.267867
BFGS:    1 14:53:02       93.514183        7.342609
BFGS:    2 14:53:02       91.669067        2.831108
BFGS:    3 14:53:02       91.082914        1.252101
BFGS:    4 14:53:02       90.765022        0.916434
BFGS:    5 14:53:03       90.535772        1.028409
BFGS:    6 14:53:03       90.368464        0.979026
BFGS:    7 14:53:03       90.298305        0.718302
BFGS:    8 14:53:03       90.255057        0.547219
BFGS:    9 14:53:03       90.221684        0.384699
BFGS:   10 14:53:03       90.200517        0.484474
BFGS:   11 14:53:03       90.182298        0.306637
BFGS:   12 14:53:03       90.170156        0.294170
BFGS:   13 14:53:04       90.159481        0.283748
BFGS:   14 14:53:04       90.149824        0.353591
BFGS:   15 14:53:04       90.139451        0.369614
BFGS:   16 14:53:04       90.128103        0.254187
BFGS:   17 14:53:04       90.117591        0.272924
BFGS:   18 14:53:04       90.109479        0.213695
BFGS:   19 14:53:04       90.102045        0.241024
BFGS:   20 14:53:04       90.093003        0.255308
BFGS:   21 14:53:04       90.083838        0.239716
BFGS:   22 14:53:04       90.077415        0.173194
BFGS:   23 14:53:05       90.073090        0.115666
BFGS:   24 14:53:05       90.069191        0.154392
BFGS:   25 14:53:05       90.064363        0.172758
BFGS:   26 14:53:05       90.058885        0.226278
BFGS:   27 14:53:05       90.054727        0.200398
BFGS:   28 14:53:05       90.051970        0.139606
BFGS:   29 14:53:05       90.049480        0.112480
BFGS:   30 14:53:05       90.046397        0.175108
      Step     Time          Energy          fmax
BFGS:    0 17:57:18       99.171514       24.267867
BFGS:    1 17:57:18       93.514183        7.342609
BFGS:    2 17:57:18       91.669067        2.831108
BFGS:    3 17:57:19       91.082914        1.252101
BFGS:    4 17:57:19       90.765022        0.916434
BFGS:    5 17:57:19       90.535772        1.028409
BFGS:    6 17:57:19       90.368464        0.979026
BFGS:    7 17:57:19       90.298305        0.718302
BFGS:    8 17:57:19       90.255057        0.547219
BFGS:    9 17:57:19       90.221684        0.384699
BFGS:   10 17:57:19       90.200517        0.484474
BFGS:   11 17:57:19       90.182298        0.306637
BFGS:   12 17:57:19       90.170156        0.294170
BFGS:   13 17:57:19       90.159481        0.283748
BFGS:   14 17:57:19       90.149824        0.353591
BFGS:   15 17:57:20       90.139451        0.369614
BFGS:   16 17:57:20       90.128103        0.254187
BFGS:   17 17:57:20       90.117591        0.272924
BFGS:   18 17:57:20       90.109479        0.213695
BFGS:   19 17:57:20       90.102045        0.241024
BFGS:   20 17:57:20       90.093003        0.255308
BFGS:   21 17:57:20       90.083838        0.239716
BFGS:   22 17:57:20       90.077415        0.173194
BFGS:   23 17:57:20       90.073090        0.115666
BFGS:   24 17:57:20       90.069191        0.154392
BFGS:   25 17:57:20       90.064363        0.172758
BFGS:   26 17:57:21       90.058885        0.226278
BFGS:   27 17:57:21       90.054727        0.200398
BFGS:   28 17:57:21       90.051970        0.139606
BFGS:   29 17:57:21       90.049480        0.112480
BFGS:   30 17:57:21       90.046397        0.175108
