      Step     Time          Energy          fmax
BFGS:    0 14:46:27       96.188249        9.596446
BFGS:    1 14:46:27       92.417775        4.631180
BFGS:    2 14:46:27       91.358867        2.146623
BFGS:    3 14:46:27       90.927243        0.783470
BFGS:    4 14:46:28       90.679245        0.958374
BFGS:    5 14:46:28       90.450567        1.031238
BFGS:    6 14:46:28       90.332899        0.861071
BFGS:    7 14:46:28       90.282947        0.666273
BFGS:    8 14:46:28       90.237634        0.428778
BFGS:    9 14:46:28       90.208986        0.500396
BFGS:   10 14:46:28       90.190609        0.355919
BFGS:   11 14:46:28       90.177427        0.370891
BFGS:   12 14:46:29       90.165195        0.319766
BFGS:   13 14:46:29       90.153531        0.434401
BFGS:   14 14:46:29       90.142143        0.394639
BFGS:   15 14:46:29       90.131989        0.201007
BFGS:   16 14:46:29       90.123945        0.152122
BFGS:   17 14:46:29       90.117671        0.232905
BFGS:   18 14:46:29       90.110862        0.296963
BFGS:   19 14:46:29       90.103657        0.213336
BFGS:   20 14:46:30       90.098022        0.147581
BFGS:   21 14:46:30       90.093753        0.119937
BFGS:   22 14:46:30       90.089483        0.226855
BFGS:   23 14:46:30       90.083645        0.277534
BFGS:   24 14:46:30       90.075148        0.234691
BFGS:   25 14:46:30       90.066803        0.213499
BFGS:   26 14:46:30       90.059669        0.170787
BFGS:   27 14:46:30       90.050653        0.139202
BFGS:   28 14:46:31       90.043345        0.225986
BFGS:   29 14:46:31       90.033823        0.252043
BFGS:   30 14:46:31       90.026419        0.189544
      Step     Time          Energy          fmax
BFGS:    0 14:53:37       96.188249        9.596446
BFGS:    1 14:53:37       92.417775        4.631180
BFGS:    2 14:53:38       91.358867        2.146623
BFGS:    3 14:53:38       90.927243        0.783470
BFGS:    4 14:53:38       90.679245        0.958374
BFGS:    5 14:53:38       90.450567        1.031238
BFGS:    6 14:53:38       90.332899        0.861071
BFGS:    7 14:53:38       90.282947        0.666273
BFGS:    8 14:53:38       90.237634        0.428778
BFGS:    9 14:53:39       90.208986        0.500396
BFGS:   10 14:53:39       90.190609        0.355919
BFGS:   11 14:53:39       90.177427        0.370891
BFGS:   12 14:53:39       90.165195        0.319766
BFGS:   13 14:53:39       90.153531        0.434401
BFGS:   14 14:53:39       90.142143        0.394639
BFGS:   15 14:53:39       90.131989        0.201007
BFGS:   16 14:53:39       90.123945        0.152122
BFGS:   17 14:53:40       90.117671        0.232905
BFGS:   18 14:53:40       90.110862        0.296963
BFGS:   19 14:53:40       90.103657        0.213336
BFGS:   20 14:53:40       90.098022        0.147581
BFGS:   21 14:53:40       90.093753        0.119937
BFGS:   22 14:53:40       90.089483        0.226855
BFGS:   23 14:53:40       90.083645        0.277534
BFGS:   24 14:53:40       90.075148        0.234691
BFGS:   25 14:53:41       90.066803        0.213499
BFGS:   26 14:53:41       90.059669        0.170787
BFGS:   27 14:53:41       90.050653        0.139202
BFGS:   28 14:53:41       90.043345        0.225986
BFGS:   29 14:53:41       90.033823        0.252043
BFGS:   30 14:53:41       90.026419        0.189544
      Step     Time          Energy          fmax
BFGS:    0 17:57:50       96.188249        9.596446
BFGS:    1 17:57:50       92.417775        4.631180
BFGS:    2 17:57:50       91.358867        2.146623
BFGS:    3 17:57:51       90.927243        0.783470
BFGS:    4 17:57:51       90.679245        0.958374
BFGS:    5 17:57:51       90.450567        1.031238
BFGS:    6 17:57:51       90.332899        0.861071
BFGS:    7 17:57:51       90.282947        0.666273
BFGS:    8 17:57:51       90.237634        0.428778
BFGS:    9 17:57:51       90.208986        0.500396
BFGS:   10 17:57:51       90.190609        0.355919
BFGS:   11 17:57:52       90.177427        0.370891
BFGS:   12 17:57:52       90.165195        0.319766
BFGS:   13 17:57:52       90.153531        0.434401
BFGS:   14 17:57:52       90.142143        0.394639
BFGS:   15 17:57:52       90.131989        0.201007
BFGS:   16 17:57:52       90.123945        0.152122
BFGS:   17 17:57:52       90.117671        0.232905
BFGS:   18 17:57:53       90.110862        0.296963
BFGS:   19 17:57:53       90.103657        0.213336
BFGS:   20 17:57:53       90.098022        0.147581
BFGS:   21 17:57:53       90.093753        0.119937
BFGS:   22 17:57:53       90.089483        0.226855
BFGS:   23 17:57:53       90.083645        0.277534
BFGS:   24 17:57:53       90.075148        0.234691
BFGS:   25 17:57:53       90.066803        0.213499
BFGS:   26 17:57:54       90.059669        0.170787
BFGS:   27 17:57:54       90.050653        0.139202
BFGS:   28 17:57:54       90.043345        0.225986
BFGS:   29 17:57:54       90.033823        0.252043
BFGS:   30 17:57:54       90.026419        0.189544
