      Step     Time          Energy          fmax
BFGS:    0 14:46:13      120.211813      107.469512
BFGS:    1 14:46:13      100.754190       24.562399
BFGS:    2 14:46:13       95.473670       14.836329
BFGS:    3 14:46:13       92.964163        6.724274
BFGS:    4 14:46:13       91.770490        3.525403
BFGS:    5 14:46:14       91.179367        1.724338
BFGS:    6 14:46:14       90.812911        1.034884
BFGS:    7 14:46:14       90.683930        1.201554
BFGS:    8 14:46:14       90.631466        1.094625
BFGS:    9 14:46:14       90.543081        0.734055
BFGS:   10 14:46:14       90.462770        0.518991
BFGS:   11 14:46:14       90.422621        0.441176
BFGS:   12 14:46:14       90.402832        0.503714
BFGS:   13 14:46:14       90.378143        0.512837
BFGS:   14 14:46:15       90.349899        0.502784
BFGS:   15 14:46:15       90.320050        0.530722
BFGS:   16 14:46:15       90.296078        0.306234
BFGS:   17 14:46:15       90.280676        0.234277
BFGS:   18 14:46:15       90.268636        0.282116
BFGS:   19 14:46:15       90.252680        0.452907
BFGS:   20 14:46:15       90.238002        0.382489
BFGS:   21 14:46:15       90.229204        0.153586
BFGS:   22 14:46:16       90.223413        0.138223
BFGS:   23 14:46:16       90.216594        0.248786
BFGS:   24 14:46:16       90.207799        0.345452
BFGS:   25 14:46:16       90.198525        0.288685
BFGS:   26 14:46:16       90.191091        0.164361
BFGS:   27 14:46:16       90.185663        0.119172
BFGS:   28 14:46:16       90.180823        0.248125
BFGS:   29 14:46:16       90.174892        0.296955
BFGS:   30 14:46:16       90.169268        0.195044
      Step     Time          Energy          fmax
BFGS:    0 14:53:21      120.211813      107.469512
BFGS:    1 14:53:21      100.754190       24.562399
BFGS:    2 14:53:22       95.473670       14.836329
BFGS:    3 14:53:22       92.964163        6.724274
BFGS:    4 14:53:22       91.770490        3.525403
BFGS:    5 14:53:22       91.179367        1.724338
BFGS:    6 14:53:22       90.812911        1.034884
BFGS:    7 14:53:22       90.683930        1.201554
BFGS:    8 14:53:22       90.631466        1.094625
BFGS:    9 14:53:23       90.543081        0.734055
BFGS:   10 14:53:23       90.462770        0.518991
BFGS:   11 14:53:23       90.422621        0.441176
BFGS:   12 14:53:23       90.402832        0.503714
BFGS:   13 14:53:23       90.378143        0.512837
BFGS:   14 14:53:23       90.349899        0.502784
BFGS:   15 14:53:23       90.320050        0.530722
BFGS:   16 14:53:23       90.296078        0.306234
BFGS:   17 14:53:23       90.280676        0.234277
BFGS:   18 14:53:24       90.268636        0.282116
BFGS:   19 14:53:24       90.252680        0.452907
BFGS:   20 14:53:24       90.238002        0.382489
BFGS:   21 14:53:24       90.229204        0.153586
BFGS:   22 14:53:24       90.223413        0.138223
BFGS:   23 14:53:24       90.216594        0.248786
BFGS:   24 14:53:24       90.207799        0.345452
BFGS:   25 14:53:24       90.198525        0.288685
BFGS:   26 14:53:24       90.191091        0.164361
BFGS:   27 14:53:25       90.185663        0.119172
BFGS:   28 14:53:25       90.180823        0.248125
BFGS:   29 14:53:25       90.174892        0.296955
BFGS:   30 14:53:25       90.169268        0.195044
      Step     Time          Energy          fmax
BFGS:    0 17:57:35      120.211813      107.469512
BFGS:    1 17:57:35      100.754190       24.562399
BFGS:    2 17:57:35       95.473670       14.836329
BFGS:    3 17:57:35       92.964163        6.724274
BFGS:    4 17:57:35       91.770490        3.525403
BFGS:    5 17:57:36       91.179367        1.724338
BFGS:    6 17:57:36       90.812911        1.034884
BFGS:    7 17:57:36       90.683930        1.201554
BFGS:    8 17:57:36       90.631466        1.094625
BFGS:    9 17:57:36       90.543081        0.734055
BFGS:   10 17:57:36       90.462770        0.518991
BFGS:   11 17:57:36       90.422621        0.441176
BFGS:   12 17:57:37       90.402832        0.503714
BFGS:   13 17:57:37       90.378143        0.512837
BFGS:   14 17:57:37       90.349899        0.502784
BFGS:   15 17:57:37       90.320050        0.530722
BFGS:   16 17:57:37       90.296078        0.306234
BFGS:   17 17:57:37       90.280676        0.234277
BFGS:   18 17:57:37       90.268636        0.282116
BFGS:   19 17:57:37       90.252680        0.452907
BFGS:   20 17:57:37       90.238002        0.382489
BFGS:   21 17:57:37       90.229204        0.153586
BFGS:   22 17:57:38       90.223413        0.138223
BFGS:   23 17:57:38       90.216594        0.248786
BFGS:   24 17:57:38       90.207799        0.345452
BFGS:   25 17:57:38       90.198525        0.288685
BFGS:   26 17:57:38       90.191091        0.164361
BFGS:   27 17:57:38       90.185663        0.119172
BFGS:   28 17:57:38       90.180823        0.248125
BFGS:   29 17:57:38       90.174892        0.296955
BFGS:   30 17:57:38       90.169268        0.195044
