      Step     Time          Energy          fmax
BFGS:    0 14:46:35       98.075269       19.078116
BFGS:    1 14:46:36       92.960418        6.179587
BFGS:    2 14:46:36       91.558799        2.646946
BFGS:    3 14:46:36       91.020139        1.046399
BFGS:    4 14:46:36       90.730706        0.924856
BFGS:    5 14:46:36       90.500679        1.028374
BFGS:    6 14:46:36       90.350313        0.890399
BFGS:    7 14:46:36       90.290450        0.718158
BFGS:    8 14:46:36       90.248828        0.533036
BFGS:    9 14:46:37       90.215612        0.489174
BFGS:   10 14:46:37       90.193265        0.461075
BFGS:   11 14:46:37       90.177633        0.327643
BFGS:   12 14:46:37       90.166509        0.329138
BFGS:   13 14:46:37       90.155698        0.329016
BFGS:   14 14:46:37       90.145075        0.425959
BFGS:   15 14:46:37       90.134102        0.368357
BFGS:   16 14:46:37       90.123873        0.192173
BFGS:   17 14:46:38       90.115889        0.183008
BFGS:   18 14:46:38       90.109793        0.218451
BFGS:   19 14:46:38       90.102860        0.279659
BFGS:   20 14:46:38       90.094769        0.213112
BFGS:   21 14:46:38       90.088200        0.165923
BFGS:   22 14:46:38       90.083477        0.133889
BFGS:   23 14:46:38       90.079059        0.182265
BFGS:   24 14:46:38       90.072994        0.227253
BFGS:   25 14:46:39       90.064261        0.246691
BFGS:   26 14:46:39       90.056412        0.274300
BFGS:   27 14:46:39       90.049744        0.205395
BFGS:   28 14:46:39       90.044482        0.122663
BFGS:   29 14:46:39       90.039422        0.214427
BFGS:   30 14:46:39       90.033795        0.208839
      Step     Time          Energy          fmax
BFGS:    0 14:53:46       98.075269       19.078116
BFGS:    1 14:53:46       92.960418        6.179587
BFGS:    2 14:53:46       91.558799        2.646946
BFGS:    3 14:53:47       91.020139        1.046399
BFGS:    4 14:53:47       90.730706        0.924856
BFGS:    5 14:53:47       90.500679        1.028374
BFGS:    6 14:53:47       90.350313        0.890399
BFGS:    7 14:53:47       90.290450        0.718158
BFGS:    8 14:53:47       90.248828        0.533036
BFGS:    9 14:53:47       90.215612        0.489174
BFGS:   10 14:53:47       90.193265        0.461075
BFGS:   11 14:53:47       90.177633        0.327643
BFGS:   12 14:53:48       90.166509        0.329138
BFGS:   13 14:53:48       90.155698        0.329016
BFGS:   14 14:53:48       90.145075        0.425959
BFGS:   15 14:53:48       90.134102        0.368357
BFGS:   16 14:53:48       90.123873        0.192173
BFGS:   17 14:53:48       90.115889        0.183008
BFGS:   18 14:53:48       90.109793        0.218451
BFGS:   19 14:53:48       90.102860        0.279659
BFGS:   20 14:53:49       90.094769        0.213112
BFGS:   21 14:53:49       90.088200        0.165923
BFGS:   22 14:53:49       90.083477        0.133889
BFGS:   23 14:53:49       90.079059        0.182265
BFGS:   24 14:53:49       90.072994        0.227253
BFGS:   25 14:53:49       90.064261        0.246691
BFGS:   26 14:53:49       90.056412        0.274300
BFGS:   27 14:53:49       90.049744        0.205395
BFGS:   28 14:53:50       90.044482        0.122663
BFGS:   29 14:53:50       90.039422        0.214427
BFGS:   30 14:53:50       90.033795        0.208839
      Step     Time          Energy          fmax
BFGS:    0 17:57:59       98.075269       19.078116
BFGS:    1 17:57:59       92.960418        6.179587
BFGS:    2 17:57:59       91.558799        2.646946
BFGS:    3 17:57:59       91.020139        1.046399
BFGS:    4 17:57:59       90.730706        0.924856
BFGS:    5 17:57:59       90.500679        1.028374
BFGS:    6 17:57:59       90.350313        0.890399
BFGS:    7 17:57:59       90.290450        0.718158
BFGS:    8 17:57:59       90.248828        0.533036
BFGS:    9 17:57:59       90.215612        0.489174
BFGS:   10 17:58:00       90.193265        0.461075
BFGS:   11 17:58:00       90.177633        0.327643
BFGS:   12 17:58:00       90.166509        0.329138
BFGS:   13 17:58:00       90.155698        0.329016
BFGS:   14 17:58:00       90.145075        0.425959
BFGS:   15 17:58:00       90.134102        0.368357
BFGS:   16 17:58:00       90.123873        0.192173
BFGS:   17 17:58:00       90.115889        0.183008
BFGS:   18 17:58:01       90.109793        0.218451
BFGS:   19 17:58:01       90.102860        0.279659
BFGS:   20 17:58:01       90.094769        0.213112
BFGS:   21 17:58:01       90.088200        0.165923
BFGS:   22 17:58:01       90.083477        0.133889
BFGS:   23 17:58:01       90.079059        0.182265
BFGS:   24 17:58:01       90.072994        0.227253
BFGS:   25 17:58:02       90.064261        0.246691
BFGS:   26 17:58:02       90.056412        0.274300
BFGS:   27 17:58:02       90.049744        0.205395
BFGS:   28 17:58:02       90.044482        0.122663
BFGS:   29 17:58:02       90.039422        0.214427
BFGS:   30 17:58:02       90.033795        0.208839
