      Step     Time          Energy          fmax
BFGS:    0 14:46:48       94.030840        7.219514
BFGS:    1 14:46:48       91.725512        3.565160
BFGS:    2 14:46:48       91.061524        1.905477
BFGS:    3 14:46:48       90.731517        0.841976
BFGS:    4 14:46:48       90.540992        0.991358
BFGS:    5 14:46:49       90.332795        1.202695
BFGS:    6 14:46:49       90.207563        0.815753
BFGS:    7 14:46:49       90.175278        0.321332
BFGS:    8 14:46:49       90.162053        0.275239
BFGS:    9 14:46:49       90.152341        0.306688
BFGS:   10 14:46:49       90.142162        0.272295
BFGS:   11 14:46:50       90.132615        0.219707
BFGS:   12 14:46:50       90.125680        0.206258
BFGS:   13 14:46:50       90.120216        0.197882
BFGS:   14 14:46:50       90.114402        0.187907
BFGS:   15 14:46:50       90.105681        0.233668
BFGS:   16 14:46:50       90.093550        0.281308
BFGS:   17 14:46:50       90.082167        0.209869
BFGS:   18 14:46:51       90.074996        0.200064
BFGS:   19 14:46:51       90.068766        0.165941
BFGS:   20 14:46:51       90.061279        0.220943
BFGS:   21 14:46:51       90.054208        0.182243
BFGS:   22 14:46:51       90.048632        0.141286
BFGS:   23 14:46:51       90.044287        0.130546
BFGS:   24 14:46:51       90.038286        0.196503
BFGS:   25 14:46:51       90.028531        0.319116
BFGS:   26 14:46:52       90.016636        0.331952
BFGS:   27 14:46:52       90.006217        0.190641
BFGS:   28 14:46:52       89.998633        0.122984
BFGS:   29 14:46:52       89.996464        0.200442
BFGS:   30 14:46:52       89.990407        0.160842
      Step     Time          Energy          fmax
BFGS:    0 14:53:57       94.030840        7.219514
BFGS:    1 14:53:57       91.725512        3.565160
BFGS:    2 14:53:57       91.061524        1.905477
BFGS:    3 14:53:57       90.731517        0.841976
BFGS:    4 14:53:57       90.540992        0.991358
BFGS:    5 14:53:58       90.332795        1.202695
BFGS:    6 14:53:58       90.207563        0.815753
BFGS:    7 14:53:58       90.175278        0.321332
BFGS:    8 14:53:58       90.162053        0.275239
BFGS:    9 14:53:58       90.152341        0.306688
BFGS:   10 14:53:58       90.142162        0.272295
BFGS:   11 14:53:58       90.132615        0.219707
BFGS:   12 14:53:59       90.125680        0.206258
BFGS:   13 14:53:59       90.120216        0.197882
BFGS:   14 14:53:59       90.114402        0.187907
BFGS:   15 14:53:59       90.105681        0.233668
BFGS:   16 14:53:59       90.093550        0.281308
BFGS:   17 14:53:59       90.082167        0.209869
BFGS:   18 14:53:59       90.074996        0.200064
BFGS:   19 14:53:59       90.068766        0.165941
BFGS:   20 14:54:00       90.061279        0.220943
BFGS:   21 14:54:00       90.054208        0.182243
BFGS:   22 14:54:00       90.048632        0.141286
BFGS:   23 14:54:00       90.044287        0.130546
BFGS:   24 14:54:00       90.038286        0.196503
BFGS:   25 14:54:00       90.028531        0.319116
BFGS:   26 14:54:01       90.016636        0.331952
BFGS:   27 14:54:01       90.006217        0.190641
BFGS:   28 14:54:01       89.998633        0.122984
BFGS:   29 14:54:01       89.996464        0.200442
BFGS:   30 14:54:01       89.990407        0.160842
      Step     Time          Energy          fmax
BFGS:    0 17:58:10       94.030840        7.219514
BFGS:    1 17:58:10       91.725512        3.565160
BFGS:    2 17:58:10       91.061524        1.905477
BFGS:    3 17:58:10       90.731517        0.841976
BFGS:    4 17:58:11       90.540992        0.991358
BFGS:    5 17:58:11       90.332795        1.202695
BFGS:    6 17:58:11       90.207563        0.815753
BFGS:    7 17:58:11       90.175278        0.321332
BFGS:    8 17:58:11       90.162053        0.275239
BFGS:    9 17:58:11       90.152341        0.306688
BFGS:   10 17:58:11       90.142162        0.272295
BFGS:   11 17:58:12       90.132615        0.219707
BFGS:   12 17:58:12       90.125680        0.206258
BFGS:   13 17:58:12       90.120216        0.197882
BFGS:   14 17:58:12       90.114402        0.187907
BFGS:   15 17:58:12       90.105681        0.233668
BFGS:   16 17:58:12       90.093550        0.281308
BFGS:   17 17:58:12       90.082167        0.209869
BFGS:   18 17:58:13       90.074996        0.200064
BFGS:   19 17:58:13       90.068766        0.165941
BFGS:   20 17:58:13       90.061279        0.220943
BFGS:   21 17:58:13       90.054208        0.182243
BFGS:   22 17:58:13       90.048632        0.141286
BFGS:   23 17:58:13       90.044287        0.130546
BFGS:   24 17:58:13       90.038286        0.196503
BFGS:   25 17:58:13       90.028531        0.319116
BFGS:   26 17:58:14       90.016636        0.331952
BFGS:   27 17:58:14       90.006217        0.190641
BFGS:   28 17:58:14       89.998633        0.122984
BFGS:   29 17:58:14       89.996464        0.200442
BFGS:   30 17:58:14       89.990407        0.160842
