Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.5465      -15989.0034  -15992.4226       3.4192   269.9
0.5470      -15988.9842  -15992.3730       3.3888   267.5
0.5475      -15988.9632  -15992.3556       3.3923   267.8
0.5480      -15988.9425  -15992.3750       3.4325   271.0
0.5485      -15988.9245  -15992.4282       3.5037   276.6
0.5490      -15988.9098  -15992.4982       3.5884   283.3
0.5495      -15988.8991  -15992.5638       3.6648   289.3
0.5500      -15988.8904  -15992.6135       3.7230   293.9
0.5505      -15988.8840  -15992.6536       3.7696   297.6
0.5510      -15988.8802  -15992.6971       3.8169   301.3
0.5515      -15988.8804  -15992.7529       3.8725   305.7
0.5520      -15988.8832  -15992.8201       3.9370   310.8
0.5525      -15988.8894  -15992.8939       4.0045   316.1
0.5530      -15988.8990  -15992.9659       4.0668   321.0
0.5535      -15988.9132  -15993.0296       4.1164   325.0
0.5540      -15988.9292  -15993.0773       4.1481   327.5
0.5545      -15988.9469  -15993.1039       4.1569   328.2
0.5550      -15988.9652  -15993.1026       4.1374   326.6
0.5555      -15988.9812  -15993.0706       4.0893   322.8
0.5560      -15988.9939  -15993.0179       4.0241   317.7
0.5565      -15989.0029  -15992.9677       3.9648   313.0
0.5570      -15989.0096  -15992.9419       3.9323   310.4
0.5575      -15989.0153  -15992.9467       3.9314   310.4
0.5580      -15989.0220  -15992.9744       3.9524   312.0
0.5585      -15989.0288  -15993.0109       3.9821   314.4
0.5590      -15989.0369  -15993.0463       4.0093   316.5
0.5595      -15989.0470  -15993.0717       4.0247   317.7
0.5600      -15989.0578  -15993.0763       4.0186   317.2
0.5605      -15989.0680  -15993.0500       3.9820   314.3
0.5610      -15989.0756  -15992.9923       3.9166   309.2
0.5615      -15989.0795  -15992.9197       3.8402   303.2
0.5620      -15989.0795  -15992.8628       3.7834   298.7
0.5625      -15989.0788  -15992.8557       3.7769   298.2
0.5630      -15989.0796  -15992.9132       3.8336   302.6
0.5635      -15989.0850  -15993.0199       3.9349   310.6
0.5640      -15989.0955  -15993.1348       4.0392   318.9
0.5645      -15989.1110  -15993.2155       4.1045   324.0
0.5650      -15989.1279  -15993.2310       4.1031   323.9
0.5655      -15989.1436  -15993.1678       4.0243   317.7
0.5660      -15989.1537  -15993.0297       3.8760   306.0
0.5665      -15989.1538  -15992.8464       3.6925   291.5
0.5670      -15989.1445  -15992.6766       3.5320   278.8
0.5675      -15989.1289  -15992.5866       3.4577   273.0
0.5680      -15989.1131  -15992.6172       3.5041   276.6
0.5685      -15989.1027  -15992.7574       3.6547   288.5
0.5690      -15989.1004  -15992.9500       3.8496   303.9
0.5695      -15989.1072  -15993.1252       4.0180   317.2
0.5700      -15989.1192  -15993.2316       4.1123   324.6
0.5705      -15989.1334  -15993.2561       4.1227   325.5
0.5710      -15989.1468  -15993.2206       4.0737   321.6
0.5715      -15989.1577  -15993.1636       4.0059   316.2
0.5720      -15989.1663  -15993.1216       3.9554   312.2
0.5725      -15989.1735  -15993.1182       3.9447   311.4
0.5730      -15989.1818  -15993.1609       3.9791   314.1
0.5735      -15989.1935  -15993.2361       4.0427   319.1
0.5740      -15989.2103  -15993.3098       4.0995   323.6
0.5745      -15989.2282  -15993.3374       4.1092   324.4
0.5750      -15989.2441  -15993.2929       4.0488   319.6
0.5755      -15989.2548  -15993.1838       3.9290   310.2
0.5760      -15989.2585  -15993.0483       3.7898   299.2
0.5765      -15989.2562  -15992.9329       3.6767   290.3
0.5770      -15989.2499  -15992.8677       3.6178   285.6
0.5775      -15989.2422  -15992.8537       3.6116   285.1
0.5780      -15989.2346  -15992.8674       3.6329   286.8
0.5785      -15989.2284  -15992.8785       3.6501   288.1
0.5790      -15989.2214  -15992.8638       3.6424   287.5
0.5795      -15989.2130  -15992.8197       3.6067   284.7
0.5800      -15989.2023  -15992.7588       3.5565   280.8
0.5805      -15989.1887  -15992.7039       3.5153   277.5
0.5810      -15989.1734  -15992.6805       3.5071   276.9
0.5815      -15989.1592  -15992.7061       3.5469   280.0
0.5820      -15989.1486  -15992.7731       3.6244   286.1
0.5825      -15989.1432  -15992.8449       3.7018   292.2
0.5830      -15989.1395  -15992.8765       3.7370   295.0
0.5835      -15989.1350  -15992.8466       3.7116   293.0
0.5840      -15989.1272  -15992.7723       3.6451   287.8
0.5845      -15989.1167  -15992.7007       3.5839   282.9
0.5850      -15989.1045  -15992.6783       3.5738   282.1
0.5855      -15989.0941  -15992.7251       3.6310   286.6
0.5860      -15989.0880  -15992.8241       3.7361   294.9
0.5865      -15989.0876  -15992.9367       3.8491   303.9
0.5870      -15989.0905  -15993.0251       3.9345   310.6
0.5875      -15989.0960  -15993.0739       3.9779   314.0
0.5880      -15989.1028  -15993.0929       3.9901   315.0
0.5885      -15989.1115  -15993.1073       3.9958   315.4
0.5890      -15989.1204  -15993.1374       4.0170   317.1
0.5895      -15989.1312  -15993.1940       4.0628   320.7
0.5900      -15989.1454  -15993.2721       4.1268   325.8
0.5905      -15989.1630  -15993.3498       4.1869   330.5
0.5910      -15989.1829  -15993.3938       4.2109   332.4
0.5915      -15989.2021  -15993.3770       4.1749   329.6
0.5920      -15989.2176  -15993.2962       4.0786   322.0
0.5925      -15989.2269  -15993.1744       3.9475   311.6
0.5930      -15989.2303  -15993.0506       3.8203   301.6
0.5935      -15989.2284  -15992.9591       3.7307   294.5
0.5940      -15989.2235  -15992.9156       3.6921   291.5
0.5945      -15989.2173  -15992.9140       3.6967   291.8
0.5950      -15989.2119  -15992.9383       3.7264   294.2
0.5955      -15989.2072  -15992.9726       3.7654   297.2
0.5960      -15989.2043  -15993.0093       3.8050   300.4
0.5965      -15989.2035  -15993.0459       3.8424   303.3
0.5970      -15989.2059  -15993.0821       3.8762   306.0
0.5975      -15989.2094  -15993.1124       3.9030   308.1
0.5980      -15989.2139  -15993.1317       3.9178   309.3
0.5985      -15989.2187  -15993.1381       3.9194   309.4
0.5990      -15989.2248  -15993.1347       3.9099   308.7
0.5995      -15989.2300  -15993.1204       3.8904   307.1
0.6000      -15989.2340  -15993.0931       3.8590   304.6
0.6005      -15989.2359  -15993.0531       3.8172   301.3
0.6010      -15989.2357  -15993.0126       3.7768   298.2
0.6015      -15989.2328  -15992.9913       3.7585   296.7
0.6020      -15989.2298  -15993.0100       3.7802   298.4
0.6025      -15989.2295  -15993.0737       3.8442   303.5
0.6030      -15989.2348  -15993.1653       3.9304   310.3
0.6035      -15989.2437  -15993.2466       4.0029   316.0
0.6040      -15989.2547  -15993.2817       4.0269   317.9
0.6045      -15989.2649  -15993.2557       3.9908   315.0
0.6050      -15989.2715  -15993.1877       3.9162   309.2
0.6055      -15989.2744  -15993.1219       3.8475   303.7
0.6060      -15989.2755  -15993.1036       3.8281   302.2
0.6065      -15989.2781  -15993.1534       3.8753   305.9
0.6070      -15989.2851  -15993.2568       3.9717   313.5
0.6075      -15989.2972  -15993.3713       4.0742   321.6
0.6080      -15989.3134  -15993.4483       4.1349   326.4
0.6085      -15989.3304  -15993.4562       4.1258   325.7
0.6090      -15989.3450  -15993.3943       4.0493   319.7
0.6095      -15989.3548  -15993.2885       3.9337   310.5
0.6100      -15989.3598  -15993.1776       3.8178   301.4
0.6105      -15989.3598  -15993.0920       3.7322   294.6
0.6110      -15989.3568  -15993.0436       3.6868   291.0
0.6115      -15989.3521  -15993.0242       3.6721   289.9
0.6120      -15989.3469  -15993.0176       3.6707   289.8
0.6125      -15989.3402  -15993.0107       3.6704   289.8
0.6130      -15989.3327  -15993.0042       3.6715   289.8
0.6135      -15989.3248  -15993.0108       3.6861   291.0
0.6140      -15989.3193  -15993.0466       3.7273   294.2
0.6145      -15989.3163  -15993.1135       3.7972   299.8
0.6150      -15989.3172  -15993.1995       3.8823   306.5
0.6155      -15989.3222  -15993.2866       3.9645   313.0
0.6160      -15989.3309  -15993.3620       4.0312   318.2
0.6165      -15989.3433  -15993.4185       4.0752   321.7
0.6170      -15989.3578  -15993.4484       4.0907   322.9
0.6175      -15989.3724  -15993.4427       4.0702   321.3
0.6180      -15989.3845  -15993.3959       4.0114   316.7
0.6185      -15989.3936  -15993.3184       3.9248   309.8
0.6190      -15989.3976  -15993.2312       3.8335   302.6
0.6195      -15989.3979  -15993.1588       3.7609   296.9
0.6200      -15989.3960  -15993.1113       3.7153   293.3
0.6205      -15989.3920  -15993.0800       3.6880   291.1
0.6210      -15989.3861  -15993.0498       3.6637   289.2
0.6215      -15989.3782  -15993.0148       3.6366   287.1
0.6220      -15989.3685  -15992.9842       3.6157   285.4
0.6225      -15989.3584  -15992.9735       3.6152   285.4
0.6230      -15989.3487  -15992.9898       3.6411   287.4
0.6235      -15989.3417  -15993.0293       3.6876   291.1
0.6240      -15989.3365  -15993.0803       3.7438   295.5
0.6245      -15989.3343  -15993.1329       3.7986   299.9
0.6250      -15989.3350  -15993.1749       3.8399   303.1
0.6255      -15989.3367  -15993.1928       3.8562   304.4
0.6260      -15989.3391  -15993.1829       3.8438   303.4
0.6265      -15989.3395  -15993.1560       3.8165   301.3
0.6270      -15989.3386  -15993.1401       3.8016   300.1
0.6275      -15989.3384  -15993.1606       3.8222   301.7
0.6280      -15989.3412  -15993.2209       3.8798   306.3
0.6285      -15989.3479  -15993.2975       3.9495   311.8
0.6290      -15989.3571  -15993.3532       3.9961   315.5
0.6295      -15989.3664  -15993.3623       3.9959   315.4
0.6300      -15989.3734  -15993.3251       3.9517   312.0
0.6305      -15989.3784  -15993.2681       3.8897   307.1
0.6310      -15989.3800  -15993.2198       3.8398   303.1
0.6315      -15989.3797  -15993.1955       3.8158   301.2
0.6320      -15989.3782  -15993.1921       3.8139   301.1
0.6325      -15989.3757  -15993.2019       3.8262   302.1
0.6330      -15989.3740  -15993.2239       3.8499   303.9
0.6335      -15989.3739  -15993.2595       3.8857   306.7
0.6340      -15989.3764  -15993.3055       3.9290   310.2
0.6345      -15989.3819  -15993.3510       3.9691   313.3
0.6350      -15989.3893  -15993.3844       3.9951   315.4
0.6355      -15989.3983  -15993.4016       4.0034   316.0
0.6360      -15989.4076  -15993.4069       3.9993   315.7
0.6365      -15989.4173  -15993.4071       3.9897   315.0
0.6370      -15989.4273  -15993.4022       3.9749   313.8
0.6375      -15989.4364  -15993.3848       3.9484   311.7
0.6380      -15989.4434  -15993.3502       3.9068   308.4
0.6385      -15989.4471  -15993.3085       3.8613   304.8
0.6390      -15989.4490  -15993.2827       3.8337   302.6
0.6395      -15989.4513  -15993.2870       3.8357   302.8
0.6400      -15989.4547  -15993.3104       3.8558   304.4
0.6405      -15989.4587  -15993.3254       3.8667   305.2
0.6410      -15989.4614  -15993.3131       3.8516   304.1
0.6415      -15989.4623  -15993.2804       3.8181   301.4
0.6420      -15989.4619  -15993.2527       3.7908   299.3
0.6425      -15989.4614  -15993.2539       3.7925   299.4
0.6430      -15989.4631  -15993.2922       3.8291   302.3
0.6435      -15989.4671  -15993.3561       3.8889   307.0
0.6440      -15989.4743  -15993.4250       3.9507   311.9
0.6445      -15989.4844  -15993.4790       3.9946   315.3
0.6450      -15989.4961  -15993.5054       4.0092   316.5
0.6455      -15989.5083  -15993.5010       3.9926   315.2
0.6460      -15989.5186  -15993.4714       3.9527   312.0
0.6465      -15989.5260  -15993.4318       3.9058   308.3
0.6470      -15989.5305  -15993.4038       3.8732   305.8
0.6475      -15989.5350  -15993.4091       3.8741   305.8
0.6480      -15989.5401  -15993.4521       3.9120   308.8
0.6485      -15989.5476  -15993.5147       3.9670   313.2
0.6490      -15989.5574  -15993.5637       4.0063   316.3
0.6495      -15989.5671  -15993.5721       4.0050   316.2
0.6500      -15989.5751  -15993.5354       3.9603   312.6
0.6505      -15989.5800  -15993.4714       3.8914   307.2
0.6510      -15989.5816  -15993.4096       3.8280   302.2
0.6515      -15989.5811  -15993.3763       3.7952   299.6
0.6520      -15989.5800  -15993.3838       3.8038   300.3
0.6525      -15989.5809  -15993.4278       3.8469   303.7
0.6530      -15989.5846  -15993.4885       3.9039   308.2
0.6535      -15989.5912  -15993.5374       3.9462   311.5
0.6540      -15989.5995  -15993.5459       3.9464   311.5
0.6545      -15989.6063  -15993.4973       3.8910   307.2
0.6550      -15989.6091  -15993.3989       3.7897   299.2
0.6555      -15989.6059  -15993.2825       3.6766   290.2
0.6560      -15989.5979  -15993.1918       3.5939   283.7
0.6565      -15989.5879  -15993.1573       3.5694   281.8
0.6570      -15989.5796  -15993.1790       3.5994   284.1
0.6575      -15989.5727  -15993.2256       3.6528   288.4
0.6580      -15989.5675  -15993.2581       3.6906   291.3
0.6585      -15989.5620  -15993.2520       3.6899   291.3
0.6590      -15989.5560  -15993.2101       3.6541   288.5
0.6595      -15989.5468  -15993.1545       3.6076   284.8
0.6600      -15989.5358  -15993.1163       3.5805   282.7
0.6605      -15989.5247  -15993.1187       3.5940   283.7
0.6610      -15989.5151  -15993.1676       3.6524   288.3
0.6615      -15989.5089  -15993.2528       3.7439   295.6
0.6620      -15989.5068  -15993.3564       3.8496   303.9
0.6625      -15989.5096  -15993.4595       3.9499   311.8
0.6630      -15989.5173  -15993.5438       4.0265   317.9
0.6635      -15989.5289  -15993.5936       4.0647   320.9
0.6640      -15989.5410  -15993.5988       4.0578   320.3
0.6645      -15989.5517  -15993.5634       4.0117   316.7
0.6650      -15989.5600  -15993.5046       3.9446   311.4
0.6655      -15989.5665  -15993.4437       3.8772   306.1
0.6660      -15989.5699  -15993.3897       3.8199   301.5
0.6665      -15989.5708  -15993.3387       3.7680   297.5
0.6670      -15989.5683  -15993.2796       3.7113   293.0
0.6675      -15989.5633  -15993.2098       3.6466   287.9
0.6680      -15989.5538  -15993.1360       3.5822   282.8
0.6685      -15989.5410  -15993.0751       3.5341   279.0
0.6690      -15989.5267  -15993.0446       3.5179   277.7
0.6695      -15989.5124  -15993.0540       3.5416   279.6
0.6700      -15989.5004  -15993.0999       3.5995   284.2
0.6705      -15989.4914  -15993.1670       3.6755   290.2
0.6710      -15989.4858  -15993.2358       3.7500   296.0
0.6715      -15989.4835  -15993.2910       3.8075   300.6
0.6720      -15989.4834  -15993.3252       3.8418   303.3
0.6725      -15989.4849  -15993.3402       3.8553   304.3
0.6730      -15989.4865  -15993.3452       3.8587   304.6
0.6735      -15989.4883  -15993.3562       3.8679   305.3
0.6740      -15989.4915  -15993.3899       3.8983   307.7
0.6745      -15989.4975  -15993.4544       3.9570   312.4
0.6750      -15989.5081  -15993.5428       4.0347   318.5
0.6755      -15989.5227  -15993.6322       4.1095   324.4
0.6760      -15989.5403  -15993.6958       4.1555   328.0
0.6765      -15989.5587  -15993.7158       4.1570   328.2
0.6770      -15989.5766  -15993.6937       4.1171   325.0
0.6775      -15989.5911  -15993.6450       4.0539   320.0
0.6780      -15989.6023  -15993.5923       3.9900   315.0
0.6785      -15989.6109  -15993.5553       3.9445   311.4
0.6790      -15989.6177  -15993.5449       3.9272   310.0
0.6795      -15989.6246  -15993.5606       3.9359   310.7
0.6800      -15989.6327  -15993.5899       3.9573   312.4
0.6805      -15989.6417  -15993.6138       3.9721   313.6
0.6810      -15989.6505  -15993.6139       3.9634   312.9
0.6815      -15989.6591  -15993.5842       3.9251   309.9
0.6820      -15989.6642  -15993.5296       3.8654   305.1
0.6825      -15989.6660  -15993.4682       3.8022   300.2
0.6830      -15989.6646  -15993.4208       3.7562   296.5
0.6835      -15989.6628  -15993.4048       3.7420   295.4
0.6840      -15989.6602  -15993.4220       3.7618   297.0
0.6845      -15989.6590  -15993.4638       3.8048   300.4
0.6850      -15989.6601  -15993.5140       3.8540   304.2
0.6855      -15989.6631  -15993.5573       3.8942   307.4
0.6860      -15989.6679  -15993.5848       3.9169   309.2
0.6865      -15989.6735  -15993.5965       3.9231   309.7
0.6870      -15989.6791  -15993.6001       3.9210   309.5
0.6875      -15989.6846  -15993.6080       3.9234   309.7
0.6880      -15989.6907  -15993.6318       3.9411   311.1
0.6885      -15989.6989  -15993.6749       3.9760   313.9
0.6890      -15989.7091  -15993.7279       4.0188   317.3
0.6895      -15989.7212  -15993.7726       4.0514   319.8
0.6900      -15989.7344  -15993.7911       4.0567   320.2
0.6905      -15989.7468  -15993.7761       4.0293   318.1
0.6910      -15989.7573  -15993.7358       3.9785   314.1
0.6915      -15989.7650  -15993.6896       3.9246   309.8
0.6920      -15989.7707  -15993.6573       3.8867   306.8
0.6925      -15989.7752  -15993.6456       3.8704   305.5
0.6930      -15989.7802  -15993.6458       3.8656   305.2
0.6935      -15989.7835  -15993.6400       3.8565   304.4
0.6940      -15989.7853  -15993.6188       3.8335   302.6
0.6945      -15989.7853  -15993.5859       3.8006   300.0
0.6950      -15989.7850  -15993.5552       3.7702   297.6
0.6955      -15989.7831  -15993.5358       3.7527   296.2
0.6960      -15989.7809  -15993.5298       3.7489   295.9
0.6965      -15989.7784  -15993.5334       3.7550   296.4
0.6970      -15989.7758  -15993.5446       3.7688   297.5
0.6975      -15989.7738  -15993.5653       3.7914   299.3
0.6980      -15989.7733  -15993.5963       3.8230   301.8
0.6985      -15989.7746  -15993.6304       3.8558   304.4
0.6990      -15989.7769  -15993.6521       3.8752   305.9
0.6995      -15989.7801  -15993.6501       3.8700   305.5
0.7000      -15989.7818  -15993.6250       3.8433   303.4
0.7005      -15989.7823  -15993.5918       3.8095   300.7
0.7010      -15989.7822  -15993.5639       3.7817   298.5
0.7015      -15989.7814  -15993.5425       3.7611   296.9
0.7020      -15989.7799  -15993.5170       3.7370   295.0
0.7025      -15989.7769  -15993.4743       3.6974   291.9
0.7030      -15989.7709  -15993.4088       3.6379   287.2
0.7035      -15989.7609  -15993.3294       3.5685   281.7
0.7040      -15989.7476  -15993.2597       3.5121   277.3
0.7045      -15989.7322  -15993.2263       3.4941   275.8
0.7050      -15989.7176  -15993.2428       3.5252   278.3
0.7055      -15989.7058  -15993.2983       3.5924   283.6
0.7060      -15989.6981  -15993.3655       3.6674   289.5
0.7065      -15989.6930  -15993.4166       3.7236   293.9
0.7070      -15989.6899  -15993.4381       3.7482   295.9
0.7075      -15989.6874  -15993.4301       3.7427   295.5
0.7080      -15989.6853  -15993.4022       3.7170   293.4
0.7085      -15989.6810  -15993.3659       3.6849   290.9
0.7090      -15989.6750  -15993.3357       3.6607   289.0
0.7095      -15989.6678  -15993.3245       3.6567   288.7
0.7100      -15989.6617  -15993.3397       3.6780   290.4
0.7105      -15989.6568  -15993.3753       3.7185   293.5
0.7110      -15989.6542  -15993.4146       3.7604   296.9
0.7115      -15989.6533  -15993.4351       3.7817   298.5
0.7120      -15989.6533  -15993.4201       3.7667   297.4
0.7125      -15989.6508  -15993.3662       3.7153   293.3
0.7130      -15989.6449  -15993.2900       3.6451   287.7
0.7135      -15989.6357  -15993.2197       3.5840   282.9
0.7140      -15989.6255  -15993.1795       3.5540   280.6
0.7145      -15989.6148  -15993.1703       3.5555   280.7
0.7150      -15989.6044  -15993.1726       3.5682   281.7
0.7155      -15989.5936  -15993.1629       3.5693   281.8
0.7160      -15989.5822  -15993.1330       3.5507   280.3
0.7165      -15989.5691  -15993.0912       3.5222   278.0
0.7170      -15989.5548  -15993.0541       3.4993   276.2
0.7175      -15989.5398  -15993.0326       3.4928   275.7
0.7180      -15989.5250  -15993.0316       3.5066   276.8
0.7185      -15989.5099  -15993.0533       3.5434   279.7
0.7190      -15989.4966  -15993.1034       3.6068   284.7
0.7195      -15989.4871  -15993.1836       3.6965   291.8
0.7200      -15989.4835  -15993.2837       3.8001   300.0
0.7205      -15989.4849  -15993.3796       3.8947   307.5
0.7210      -15989.4904  -15993.4469       3.9565   312.3
0.7215      -15989.4979  -15993.4706       3.9727   313.6
0.7220      -15989.5059  -15993.4523       3.9464   311.5
0.7225      -15989.5119  -15993.4069       3.8950   307.5
0.7230      -15989.5158  -15993.3569       3.8412   303.2
0.7235      -15989.5176  -15993.3192       3.8016   300.1
0.7240      -15989.5189  -15993.2990       3.7801   298.4
0.7245      -15989.5184  -15993.2903       3.7719   297.8
0.7250      -15989.5169  -15993.2886       3.7717   297.7
0.7255      -15989.5152  -15993.2945       3.7792   298.3
0.7260      -15989.5142  -15993.3099       3.7956   299.6
0.7265      -15989.5148  -15993.3312       3.8165   301.3
0.7270      -15989.5165  -15993.3478       3.8313   302.5
0.7275      -15989.5188  -15993.3465       3.8276   302.2
0.7280      -15989.5200  -15993.3181       3.7981   299.8
0.7285      -15989.5191  -15993.2678       3.7487   295.9
0.7290      -15989.5144  -15993.2174       3.7030   292.3
0.7295      -15989.5078  -15993.2028       3.6951   291.7
0.7300      -15989.5025  -15993.2526       3.7501   296.0
0.7305      -15989.5021  -15993.3663       3.8642   305.1
0.7310      -15989.5088  -15993.5096       4.0008   315.8
0.7315      -15989.5213  -15993.6304       4.1091   324.4
0.7320      -15989.5372  -15993.6868       4.1497   327.6
0.7325      -15989.5529  -15993.6663       4.1134   324.7
0.7330      -15989.5664  -15993.5883       4.0220   317.5
0.7335      -15989.5749  -15993.4879       3.9129   308.9
0.7340      -15989.5786  -15993.4009       3.8223   301.7
0.7345      -15989.5783  -15993.3512       3.7729   297.8
0.7350      -15989.5773  -15993.3484       3.7711   297.7
0.7355      -15989.5764  -15993.3839       3.8076   300.6
0.7360      -15989.5778  -15993.4382       3.8604   304.7
0.7365      -15989.5824  -15993.4833       3.9009   307.9
0.7370      -15989.5882  -15993.4906       3.9024   308.1
0.7375      -15989.5934  -15993.4442       3.8508   304.0
0.7380      -15989.5943  -15993.3490       3.7547   296.4
0.7385      -15989.5894  -15993.2342       3.6448   287.7
0.7390      -15989.5787  -15993.1412       3.5626   281.2
0.7395      -15989.5659  -15993.1078       3.5419   279.6
0.7400      -15989.5535  -15993.1483       3.5948   283.8
0.7405      -15989.5452  -15993.2488       3.7037   292.4
0.7410      -15989.5429  -15993.3718       3.8289   302.3
0.7415      -15989.5457  -15993.4736       3.9278   310.1
0.7420      -15989.5525  -15993.5265       3.9740   313.7
0.7425      -15989.5601  -15993.5272       3.9671   313.2
0.7430      -15989.5671  -15993.4915       3.9245   309.8
0.7435      -15989.5721  -15993.4382       3.8661   305.2
0.7440      -15989.5755  -15993.3806       3.8052   300.4
0.7445      -15989.5753  -15993.3236       3.7483   295.9
0.7450      -15989.5724  -15993.2704       3.6980   291.9
0.7455      -15989.5674  -15993.2211       3.6537   288.4
0.7460      -15989.5600  -15993.1728       3.6128   285.2
0.7465      -15989.5504  -15993.1240       3.5736   282.1
0.7470      -15989.5383  -15993.0802       3.5419   279.6
0.7475      -15989.5247  -15993.0555       3.5308   278.7
0.7480      -15989.5111  -15993.0640       3.5528   280.5
0.7485      -15989.4996  -15993.1099       3.6104   285.0
0.7490      -15989.4919  -15993.1832       3.6913   291.4
0.7495      -15989.4881  -15993.2612       3.7731   297.9
0.7500      -15989.4878  -15993.3167       3.8290   302.3
0.7505      -15989.4890  -15993.3288       3.8398   303.1
0.7510      -15989.4903  -15993.2951       3.8048   300.4
0.7515      -15989.4884  -15993.2311       3.7428   295.5
0.7520      -15989.4834  -15993.1640       3.6807   290.6
0.7525      -15989.4761  -15993.1170       3.6410   287.4
0.7530      -15989.4671  -15993.1017       3.6346   286.9
0.7535      -15989.4585  -15993.1175       3.6590   288.9
0.7540      -15989.4514  -15993.1552       3.7039   292.4
0.7545      -15989.4465  -15993.2007       3.7542   296.4
0.7550      -15989.4439  -15993.2373       3.7934   299.5
0.7555      -15989.4418  -15993.2513       3.8094   300.7
0.7560      -15989.4406  -15993.2431       3.8026   300.2
0.7565      -15989.4384  -15993.2256       3.7872   299.0
0.7570      -15989.4360  -15993.2188       3.7828   298.6
0.7575      -15989.4339  -15993.2349       3.8009   300.1
0.7580      -15989.4346  -15993.2737       3.8391   303.1
0.7585      -15989.4367  -15993.3228       3.8860   306.8
0.7590      -15989.4408  -15993.3707       3.9299   310.2
0.7595      -15989.4468  -15993.4119       3.9651   313.0
0.7600      -15989.4546  -15993.4471       3.9925   315.2
0.7605      -15989.4648  -15993.4755       4.0107   316.6
0.7610      -15989.4761  -15993.4884       4.0123   316.7
0.7615      -15989.4870  -15993.4740       3.9870   314.7
0.7620      -15989.4953  -15993.4276       3.9323   310.4
0.7625      -15989.5009  -15993.3611       3.8603   304.7
0.7630      -15989.5025  -15993.2982       3.7957   299.6
0.7635      -15989.5022  -15993.2621       3.7599   296.8
0.7640      -15989.5015  -15993.2571       3.7556   296.5
0.7645      -15989.5017  -15993.2687       3.7670   297.4
0.7650      -15989.5012  -15993.2746       3.7734   297.9
0.7655      -15989.4999  -15993.2626       3.7627   297.0
0.7660      -15989.4973  -15993.2335       3.7362   294.9
0.7665      -15989.4934  -15993.1979       3.7045   292.4
0.7670      -15989.4871  -15993.1699       3.6829   290.7
0.7675      -15989.4794  -15993.1667       3.6873   291.1
0.7680      -15989.4722  -15993.2036       3.7314   294.6
0.7685      -15989.4688  -15993.2880       3.8191   301.5
0.7690      -15989.4709  -15993.4082       3.9373   310.8
0.7695      -15989.4799  -15993.5326       4.0527   319.9
0.7700      -15989.4945  -15993.6169       4.1224   325.4
0.7705      -15989.5106  -15993.6239       4.1133   324.7
0.7710      -15989.5243  -15993.5451       4.0209   317.4
0.7715      -15989.5317  -15993.4080       3.8764   306.0
0.7720      -15989.5321  -15993.2650       3.7329   294.7
0.7725      -15989.5274  -15993.1617       3.6343   286.9
0.7730      -15989.5192  -15993.1139       3.5947   283.8
0.7735      -15989.5098  -15993.1088       3.5991   284.1
0.7740      -15989.4999  -15993.1236       3.6237   286.1
0.7745      -15989.4906  -15993.1418       3.6513   288.2
0.7750      -15989.4823  -15993.1565       3.6742   290.1
0.7755      -15989.4759  -15993.1664       3.6905   291.3
0.7760      -15989.4698  -15993.1708       3.7011   292.2
0.7765      -15989.4637  -15993.1752       3.7116   293.0
0.7770      -15989.4577  -15993.1924       3.7347   294.8
0.7775      -15989.4543  -15993.2400       3.7857   298.9
0.7780      -15989.4541  -15993.3240       3.8699   305.5
0.7785      -15989.4591  -15993.4309       3.9718   313.5
0.7790      -15989.4694  -15993.5276       4.0582   320.4
0.7795      -15989.4838  -15993.5798       4.0961   323.4
0.7800      -15989.4973  -15993.5690       4.0716   321.4
0.7805      -15989.5084  -15993.5063       3.9979   315.6
0.7810      -15989.5158  -15993.4238       3.9080   308.5
0.7815      -15989.5196  -15993.3566       3.8370   302.9
0.7820      -15989.5216  -15993.3261       3.8046   300.3
0.7825      -15989.5232  -15993.3307       3.8075   300.6
0.7830      -15989.5252  -15993.3481       3.8230   301.8
0.7835      -15989.5272  -15993.3506       3.8234   301.8
0.7840      -15989.5289  -15993.3208       3.7919   299.3
0.7845      -15989.5277  -15993.2556       3.7279   294.3
0.7850      -15989.5226  -15993.1666       3.6440   287.7
0.7855      -15989.5125  -15993.0762       3.5636   281.3
0.7860      -15989.4992  -15993.0148       3.5156   277.5
0.7865      -15989.4844  -15993.0066       3.5222   278.1
0.7870      -15989.4717  -15993.0550       3.5833   282.9
0.7875      -15989.4629  -15993.1344       3.6715   289.8
0.7880      -15989.4588  -15993.2021       3.7433   295.5
0.7885      -15989.4564  -15993.2192       3.7628   297.0
0.7890      -15989.4533  -15993.1709       3.7176   293.5
0.7895      -15989.4461  -15993.0676       3.6214   285.9
0.7900      -15989.4341  -15992.9412       3.5071   276.9
0.7905      -15989.4157  -15992.8345       3.4187   269.9
0.7910      -15989.3941  -15992.7929       3.3988   268.3
0.7915      -15989.3739  -15992.8418       3.4679   273.8
0.7920      -15989.3604  -15992.9691       3.6087   284.9
0.7925      -15989.3539  -15993.1239       3.7700   297.6
0.7930      -15989.3541  -15993.2458       3.8917   307.2
0.7935      -15989.3581  -15993.2934       3.9353   310.7
0.7940      -15989.3629  -15993.2636       3.9007   307.9
0.7945      -15989.3640  -15993.1861       3.8221   301.7
0.7950      -15989.3616  -15993.1110       3.7494   296.0
